ExplainedVariance,MaxReturn,AverageReturn,Time,Iteration,PolicyExecTime,StdReturn,LossBefore,MeanKL,MinReturn,LossAfter,AverageDiscountedReturn,dLoss,EnvExecTime,ItrTime,ProcessExecTime,MeanKLBefore,AbsLearnSignal,NumTrajs,Perplexity,AveragePolicyStd,Entropy
6.333822355486518e-13,-249.29005051683131,-587.9908411315138,1.4498145580291748,0,0.586963415145874,235.1945781998213,-1.8199892e-09,0.006881093,-1071.3608781085204,-0.022092994,-299.4375641859953,0.022092992,0.2692759037017822,1.44978928565979,0.016701698303222656,0.0,0.808712921629368,11,17.07946,1.0,2.8378766
0.43212223878073364,-403.25653521074867,-593.0151771023865,2.4457340240478516,1,0.48641276359558105,124.84465135570332,7.0511965e-09,0.0041012466,-789.7303847611981,-7.7563163e-07,-323.48810439056007,7.8268283e-07,0.25658535957336426,0.9849662780761719,0.016676902770996094,0.0,0.5267553945698512,12,17.331022,1.007351,2.852498
0.6604834058334503,-29.061941466584244,-483.7146986505548,3.422492265701294,2,0.48569202423095703,194.58998937873318,5.273775e-09,0.008667017,-808.4733224229731,-0.32027596,-246.5631847878776,0.32027596,0.26395630836486816,0.9722681045532227,0.01754474639892578,0.0,0.7607013502962562,11,17.350296,1.0078971,2.8536096
0.6477471274437954,-64.41059234340446,-418.0711219980606,4.3955442905426025,3,0.48394036293029785,171.25743748893888,-7.064254e-09,0.007132117,-709.6270161053043,-0.043878224,-228.01521548094934,0.043878216,0.2579193115234375,0.9684710502624512,0.017554283142089844,0.0,0.7080741912061543,13,17.472303,1.011445,2.860617
0.7041249303061798,41.57100273820669,-330.73312349532745,5.360630035400391,4,0.4876370429992676,182.35744366578433,7.005872e-09,0.008904424,-665.312921452662,-0.111700214,-177.69056373925034,0.11170022,0.2504394054412842,0.9609827995300293,0.017332077026367188,0.0,0.65356281160846,13,17.306532,1.0066746,2.851084
-0.09685571672479965,-185.7755024874939,-427.395125278611,6.296013355255127,5,0.46111035346984863,181.10946266805368,-2.7299838e-09,0.009992163,-931.3954052032265,-0.032711048,-213.6209346925236,0.032711044,0.2383420467376709,0.9305901527404785,0.015872478485107422,0.0,0.643590994248048,11,17.408268,1.0097104,2.8569453
0.07972444782566412,-77.05407019030986,-395.5711239932153,7.259994029998779,6,0.48485732078552246,178.75140948541952,-6.898187e-09,0.0064324737,-625.5408337099423,-0.039305206,-205.60549806175672,0.0393052,0.24390769004821777,0.9599103927612305,0.01671147346496582,0.0,0.3276487444001512,12,17.435337,1.0104307,2.858499
0.8154922558726299,-113.39464268811867,-451.8122458756227,8.203261137008667,7,0.4574263095855713,193.17722723382818,1.8590143e-09,0.004238953,-762.6261484081713,-0.0019335087,-233.64467784627462,0.0019335105,0.2368941307067871,0.9392125606536865,0.016044139862060547,0.0,0.743634281113505,11,17.481157,1.0117297,2.8611236
-0.7358717096036174,-108.21302663091356,-445.6381978556744,9.141037225723267,8,0.4687836170196533,141.0036693614924,3.4869263e-09,0.008754547,-591.1104106147793,-0.037029356,-233.26639825025336,0.03702936,0.2371230125427246,0.9330399036407471,0.016481876373291016,0.0,0.3429750851091838,12,17.451715,1.0108498,2.859438
0.7871954775337042,-94.29388907627286,-398.1431555938511,10.070523738861084,9,0.46396684646606445,202.4422546404715,-7.457864e-09,0.0068583093,-765.6007855322496,-0.025216058,-217.06766882833406,0.02521605,0.2400979995727539,0.9250469207763672,0.01654362678527832,0.0,0.7458116729700478,12,17.379576,1.0087897,2.8552957
