LossAfter,AverageReturn,Time,AverageDiscountedReturn,dLoss,ProcessExecTime,MinReturn,MeanKL,PolicyExecTime,MeanKLBefore,AveragePolicyStd,LossBefore,Perplexity,ItrTime,AbsLearnSignal,ExplainedVariance,StdReturn,NumTrajs,MaxReturn,Entropy,EnvExecTime,Iteration
-0.012952696,-441.21656253499026,1.6493608951568604,-217.81856383525582,0.012952697,0.019940853118896484,-708.8992908849752,0.006964947,0.6034765243530273,0.0,1.0,1.8260877e-09,17.07946,1.6493380069732666,0.8485557764680371,1.0347278589506459e-12,172.9822406136845,22,-24.172857889933866,2.8378766,0.4720010757446289,0
-0.01872201,-473.3895342120909,2.9006881713867188,-236.56473986965133,0.018722016,0.020659208297729492,-782.6863479701983,0.0064591733,0.5101375579833984,0.0,0.983068,5.480887e-09,16.505955,1.240208625793457,0.7829048152070321,0.5068261547225562,206.9310808005513,20,-71.02151376207003,2.8037212,0.5006246566772461,1
-0.026794791,-352.037530515184,4.0859222412109375,-180.1830443670019,0.026794802,0.020131349563598633,-605.8795847535266,0.0093445005,0.49704504013061523,0.0,0.9826455,1.1280524e-08,16.49072,1.1807193756103516,0.635118766935994,-0.28806469835132864,181.69939922219297,22,-65.8382279679817,2.8027978,0.4562387466430664,2
-0.03982517,-346.41405650416414,5.279150485992432,-163.0323313290179,0.039825175,0.019840478897094727,-691.7103947984971,0.009406543,0.4964025020599365,0.0,0.98895216,3.6486822e-09,16.70416,1.188333511352539,0.5442371683325004,-0.060649786675950335,180.2961081958942,21,-95.98692825670935,2.8156579,0.4591073989868164,3
-0.029654743,-339.7318763631435,6.55109167098999,-155.0256035409259,0.029654743,0.021922588348388672,-683.9937978071547,0.00894929,0.5229527950286865,0.0,0.9957377,-9.0438534e-10,16.93418,1.267364263534546,0.766837478379262,-0.048355428737944406,169.3118640382927,20,-37.51614610751611,2.829334,0.5118629932403564,4
-0.019349823,-302.1191265718277,7.7618865966796875,-142.01397329175308,0.019349813,0.020559310913085938,-563.2664531694854,0.007514222,0.4936501979827881,0.0,0.9957521,-9.368117e-09,16.9344,1.2052009105682373,0.7913025819543648,0.2837130867716908,157.79822531565662,20,-43.77911411974446,2.8293471,0.47205328941345215,5
-0.03333169,-216.56839096022256,9.015572547912598,-88.1590182907692,0.03333169,0.021176815032958984,-525.9557632050036,0.006600975,0.5097603797912598,0.0,0.99462867,-0.0,16.896053,1.2496895790100098,0.4806891691390642,-2.5066071022477145,156.1708783078243,19,-16.508048940902526,2.82708,0.5105831623077393,6
-0.016376061,-283.10890616126136,10.245468139648438,-115.84463080899747,0.016376063,0.019867658615112305,-531.9816803882139,0.006610476,0.49176931381225586,0.0,1.0002694,2.3237678e-09,17.0868,1.2255611419677734,0.7458211533532739,-0.8828310771572163,147.0527455015782,18,-35.00813270736403,2.8383062,0.501378059387207,7
-0.015687792,-225.92828300786294,11.537460803985596,-92.75154790800771,0.01568779,0.020308256149291992,-521.1630231889221,0.0068704044,0.4976963996887207,0.0,1.0012758,-1.8969155e-09,17.121702,1.243065357208252,0.7271144680981095,-0.2463109412571749,168.11363472413632,17,-23.973414960841055,2.8403468,0.5160574913024902,8
-0.056062177,-113.13497896086004,12.787349224090576,-50.07284377647878,0.056062184,0.020648956298828125,-415.4424097057961,0.008429055,0.4957551956176758,0.0,0.9923773,7.509247e-09,16.820076,1.2449815273284912,0.44469615383783745,-3.4578578672976192,89.6584291954938,19,8.42362360758905,2.8225732,0.5017504692077637,9
-0.03397115,-251.40932034354296,13.983780145645142,-96.02984534655695,0.033971153,0.01952195167541504,-470.3925024239743,0.008128766,0.47971057891845703,0.0,0.9950355,1.8959727e-09,16.91029,1.1918699741363525,0.7008332411481382,-0.4147898200565412,143.14623748281676,17,-8.253760247326952,2.8279223,0.48599982261657715,10
-0.027086712,-203.669547872152,15.170976877212524,-76.64518170702219,0.027086716,0.01935100555419922,-647.7689147648986,0.009687834,0.4732656478881836,0.0,0.9956279,3.7919454e-09,16.93044,1.1826000213623047,0.7166108953732945,0.1059062772648044,171.03565276495559,17,-17.308670220534722,2.8291132,0.4828970432281494,11
-0.032992456,-128.61799119747542,16.404118537902832,-49.77068071564917,0.032992452,0.020203590393066406,-465.1124326791857,0.006422231,0.4974958896636963,0.0,1.0082766,-3.7017927e-09,17.362768,1.2283270359039307,0.6879915123901778,-0.22288406922065773,112.62975375985782,18,17.929153443984944,2.8543282,0.4806969165802002,12
-0.026747547,-180.17754279434155,17.672462224960327,-62.15499052710972,0.026747538,0.020711183547973633,-425.7655213570913,0.009721322,0.5066311359405518,0.0,1.0121174,-9.018197e-09,17.49336,1.261122226715088,0.670813366356021,-0.5437252038695182,127.41009244291706,18,-23.216097806160334,2.8618214,0.520850419998169,13
-0.025857668,-202.84293939187043,18.98901867866516,-76.28209574685272,0.025857667,0.021511316299438477,-429.3728687731416,0.0067066313,0.5263962745666504,0.0,1.0221522,-1.7751034e-09,17.838272,1.312051773071289,0.6607802897254909,-0.9875138587221408,117.53734850812653,17,15.013183795252587,2.8813462,0.5564823150634766,14
-0.04457859,-91.36664895685372,20.230494737625122,-38.418841526212404,0.044578586,0.02104020118713379,-340.76791872985143,0.0066183186,0.4950408935546875,0.0,1.0238888,-3.762029e-09,17.898027,1.2371387481689453,0.6362386097222862,-0.11549032364078782,86.50429855000726,19,4.893717018122885,2.8846905,0.5149431228637695,15
