MinReturn,MeanKL,AverageDiscountedReturn,AverageReturn,AverageAbsQYDiff,NumTrajs,AveragePolicyStd,PolicyExecTime,dLoss,AbsLearnSignalOld,AverageY,AverageAbsY,EnvExecTime,Iteration,StdReturn,Time,MeanKLBefore,ExplainedVariance,AbsLearnSignalNew,ProcessExecTime,LossBefore,AverageAbsQ,AverageQLoss,Perplexity,LossAfter,ItrTime,AbsLearnSignal,Entropy,MaxReturn,AverageQ
-368.3706952099677,0.00644478,-106.49109902754917,-217.4951716051225,2.175101716634683,10,1.0,0.5989596843719482,0.18449569,0.8451965636197833,-2.296730530123015,3.056487563608968,0.2788248062133789,0,112.97336259459738,4.66161584854126,0.0,3.394728942396341e-12,0.8451153410807164,0.01587224006652832,3.9063058,2.6458383,57.569477,17.079468,3.72181,4.661603927612305,0.8451153410807164,2.837877,-60.55404326397998,-2.2325137
-423.9666526269834,0.0064615137,-79.4888520801567,-179.42595994037436,2.0482366729873407,9,0.99775827,0.46872758865356445,0.20406961,0.5819188493969412,-3.3118771972311554,3.9811819906778885,0.28496313095092773,1,115.42043802911338,8.860327243804932,0.0,-1.0358042062766177,0.5806751383610739,0.015387535095214844,3.929209,3.8103046,46.81138,17.002983,3.7251394,4.183793544769287,0.5806751383610739,2.8333888,-42.03571129839349,-3.3110573
-336.7556947559551,0.006681637,-51.77110369961055,-128.2675328708641,2.0074505155770903,9,0.9987572,0.4679293632507324,0.2046578,0.44169441784235064,-4.161270587447003,5.172505596958232,0.2714989185333252,2,110.51984428405507,12.961821794509888,0.0,-1.4678995009732687,0.4415995988418284,0.01573014259338379,3.616108,5.0531754,37.58922,17.037016,3.4114501,4.096227169036865,0.4415995988418284,2.8353884,-14.488223912056355,-4.161436
-197.26105937413757,0.00687536,-24.445899612287032,-65.42803414201022,1.9388818955850042,8,0.9986613,0.4940211772918701,0.17744708,0.6726525928958087,-4.35442658483727,6.051750899372361,0.32133030891418457,3,71.27623448544078,17.252779722213745,0.0,-0.07835310598562062,0.6734426746999205,0.016501188278198242,2.242513,5.8671036,32.94421,17.033703,2.0650659,4.249842643737793,0.6734426746999205,2.8351939,7.795493820055938,-4.35536
-191.58656186451827,0.0066498793,-29.468116038014806,-83.47942924598182,1.8932724346163732,8,0.9982243,0.5956883430480957,0.1790986,0.5381730887006787,-4.988713090471265,7.231919878266126,0.45969700813293457,4,52.80398720164293,21.728583335876465,0.0,-3.328022684944348,0.5391176835221421,0.020244836807250977,4.3552365,7.097494,26.807758,17.018852,4.176138,4.470906972885132,0.5391176835221421,2.8343217,-12.60985223667646,-4.9814234
-254.09473035061905,0.0066997437,-41.0904781222594,-120.49779355214389,1.7807177130724534,7,0.9970435,0.48401880264282227,0.18019485,0.7087270944350346,-5.354443584775585,8.626449031161892,0.3238637447357178,5,96.54729579545518,25.88207769393921,0.0,-4.8833684973717375,0.7093244450741513,0.01592731475830078,5.040412,8.4963255,22.900013,16.978613,4.860217,4.148103713989258,0.7093244450741513,2.8319545,12.608903684138696,-5.3492417
-267.3551365866168,0.0067059435,-13.259538972463025,-73.3080814244994,1.7298703380147846,6,0.99854153,0.4750394821166992,0.15568638,0.5367941485618254,-5.330199535041422,9.341716459937143,0.354461669921875,6,97.79289015791159,30.164310216903687,0.0,-1.1694727944132035,0.5375887372829914,0.015335321426391602,4.2060995,9.241596,19.609774,17.029675,4.050413,4.242368698120117,0.5375887372829914,2.8349574,31.006222864504224,-5.331673
-175.7019429486828,0.00680795,-25.901175880061317,-103.00155602926621,1.6505584541201914,6,0.9971037,0.473604679107666,0.15595269,0.60646929844639,-5.232607348691266,10.326375398129898,0.35345983505249023,7,66.53130490572941,34.42314267158508,0.0,-1.7471325381118779,0.6069035015435018,0.01570749282836914,3.828005,10.222395,16.245014,16.980677,3.6720524,4.251695394515991,0.6069035015435018,2.832076,-10.00769958724257,-5.232358
-202.5764444340457,0.0066357856,-22.745430470578906,-94.10143410592202,1.6272053755165976,7,0.9970057,0.5581417083740234,0.15996313,0.8023443642122922,-4.914482351467503,11.081975187028652,0.43315768241882324,8,80.88776871764942,38.79410982131958,0.0,-0.0164909785972418,0.801297059542346,0.019186973571777344,3.0058272,10.964358,15.693549,16.97733,2.845864,4.366079568862915,0.801297059542346,2.831879,8.106915338720611,-4.9112587
-341.1363016864269,0.0066566863,-10.049817079671392,-81.48420852197256,1.6000630709130925,5,0.9961295,0.49605417251586914,0.16627216,0.591142641387757,-4.715543199932032,11.894628552158531,0.4066276550292969,9,131.05119606525855,43.078521966934204,0.0,-0.4908734884269297,0.591542372694667,0.01629042625427246,4.489291,11.787063,14.524681,16.947443,4.323019,4.243884086608887,0.591542372694667,2.830117,15.040449448605116,-4.712102
