NumTrajs,Perplexity,ExplainedVariance,MaxReturn,Time,Iteration,Entropy,MinReturn,LossAfter,AverageAbsQ,AverageReturn,AbsLearnSignal,AbsLearnSignalOld,dLoss,AverageDiscountedReturn,MeanKLBefore,StdReturn,MeanKL,LossBefore,AverageAbsY,AverageQ,EnvExecTime,PolicyExecTime,AverageQLoss,AveragePolicyStd,AbsLearnSignalNew,AverageAbsQYDiff,ProcessExecTime,ItrTime,AverageY
8,17.07946,2.3241408797503027e-12,-97.3770019580429,4.670461654663086,0,2.8378766,-544.3440925129515,3.3114917,3.0016365,-316.35095984127315,0.844822968255306,0.8448298678715385,0.14754915,-124.0823958250551,0.0,144.7528329259898,0.0065133143,3.4590409,3.535856309497302,-2.620359,0.2771759033203125,0.5800817012786865,42.5647,1.0,0.844822968255306,2.189985393486899,0.01493978500366211,4.670449733734131,-2.705727534005902
8,17.122375,-2.7205093200079395,-43.70084950197196,8.73407769203186,1,2.8403862,-295.75939550237433,3.3200037,4.079288,-199.6306315019313,0.6251095581345636,0.6251011282197458,0.17561126,-78.72239214058175,0.0,85.86214472472244,0.006945719,3.495615,4.32078579761375,-3.4884286,0.2935342788696289,0.46599769592285156,33.313683,1.0012674,0.6251095581345636,1.8647969344712736,0.015020608901977539,4.050348520278931,-3.456014862624637
8,17.15434,-3.7377211387551723,1.2892438743582488,13.335952520370483,2,2.8422513,-377.57089603050656,3.4553235,5.0677166,-155.364836569459,0.5405344104274655,0.5401863734302512,0.29816008,-50.979696460369844,0.0,131.6813079568967,0.0067501552,3.7534835,5.2438601631181125,-4.1756315,0.2898116111755371,0.4911653995513916,23.628384,1.0022008,0.5405344104274655,1.7095254197021639,0.01603531837463379,4.596104621887207,-4.179671444884107
8,17.098694,-2.439091702924292,-39.04220272585609,17.815559148788452,3,2.8390021,-459.31765030501566,5.780956,6.5332828,-213.02082701271988,0.5875452166684181,0.5862016663116159,0.24645376,-75.03342529304467,0.0,133.64593989083886,0.007849054,6.0274096,6.698038243387548,-5.263955,0.34537744522094727,0.5250780582427979,17.321539,1.0005744,0.5875452166684181,1.6464268993043951,0.018383502960205078,4.434426546096802,-5.269072554426477
8,17.06261,-1.3738586381515705,-57.84943593138211,22.4592444896698,4,2.8368895,-343.7315544376054,8.343943,8.032966,-239.29675191416072,0.6851055840866123,0.6850630863963321,0.23583221,-92.34046021106371,0.0,99.00097314420005,0.007935991,8.579775,8.203833902787906,-6.312982,0.3193204402923584,0.5127277374267578,14.978746,0.99951684,0.6851055840866123,1.6170165017121416,0.01716136932373047,4.638309001922607,-6.325507299738812
7,17.043509,-1.2900186293509068,4.5924073405475525,27.454628944396973,5,2.8357694,-462.60529924694055,5.5588846,9.261985,-164.00456620136512,0.6001247789023223,0.5996952824547399,0.19206095,-43.275646002288674,0.0,158.29329101527588,0.0073184017,5.7509456,9.410208498138593,-6.8950996,0.3914351463317871,0.56644606590271,14.57745,0.9989623,0.6001247789023223,1.589360615458562,0.019267797470092773,4.989703416824341,-6.900554574382779
7,17.072144,-1.729417367070564,-27.615672766300136,32.54571604728699,6,2.8374481,-308.8085526492389,6.5185957,10.245479,-185.3177352001737,0.7200909022664627,0.720513433539161,0.16345167,-45.70927943068038,0.0,112.59064257527588,0.00689368,6.6820474,10.404505448316867,-7.3457885,0.4778916835784912,0.6393296718597412,12.282107,0.9998027,0.7200909022664627,1.5113718792806872,0.022164344787597656,5.047282934188843,-7.353910547286861
6,17.036465,0.040801295916582214,-201.80522328780427,37.42708420753479,7,2.835356,-375.07830956168993,10.891855,11.956452,-283.5305225690118,0.7335947812435086,0.733012150821907,0.17233562,-65.37022977800267,0.0,50.56855724209358,0.007202632,11.064191,12.091806357704224,-8.430551,0.5041987895965576,0.7066230773925781,12.883708,0.9987699,0.7335947812435086,1.540492753995831,0.021953821182250977,4.871893882751465,-8.445832802528336
5,17.099155,0.3361893805057925,-78.43119670506219,41.67103338241577,8,2.839029,-398.5023490689701,10.295277,13.145074,-238.7611620102951,0.7359946121652463,0.736808970173576,0.15477657,-47.774109044087965,0.0,106.42779506710427,0.0066971313,10.450053,13.266919625752468,-8.983553,0.4000892639160156,0.4751007556915283,12.593573,1.0006032,0.7359946121652463,1.5399364824529584,0.015668392181396484,4.238406181335449,-8.994040977894631
5,17.084253,-112922.4023110601,-30.986825928732728,48.00167918205261,9,2.8381572,-240.16280146368948,14.51962,14.760139,-115.83320679063164,0.4727061331636518,0.472708674774323,0.12750721,-20.433227359407276,0.0,80.14504870023181,0.0067001474,14.647127,14.853612648205079,-10.122291,1.999007225036621,0.9156725406646729,12.78015,1.0001669,0.4727061331636518,1.6286256994507151,0.02929854393005371,6.289492130279541,-10.128128694234245
5,17.089813,-5.118327155785695,-42.22366105754526,52.46877908706665,10,2.8384826,-316.4628165085054,15.869671,16.17694,-215.98378934256056,0.5360055646814337,0.5361725998572072,0.14321136,-31.02179872720449,0.0,98.67561901580993,0.006527236,16.012882,16.26729011056821,-10.827228,0.5785837173461914,0.5952637195587158,13.4523735,1.0003552,0.5360055646814337,1.6754944169953927,0.02000737190246582,4.46230149269104,-10.837291260581791
4,17.058144,-5811.475813088641,27.925641867897898,58.91835331916809,11,2.8366277,-252.69977948251946,14.588976,17.177645,-97.20919117801982,0.4801133563973172,0.48012395876515557,0.0988493,-3.826577264230835,0.0,101.08992276805014,0.006834754,14.687825,17.26733168237279,-11.602575,2.185558319091797,0.8635692596435547,14.462109,0.999441,0.4801133563973172,1.7192185152452228,0.02684926986694336,6.40856409072876,-11.610625473005337
