MinReturn,NumTrajs,MeanKL,AbsLearnSignal,MaxReturn,AbsLearnSignalNew,StdReturn,MeanKLBefore,LossAfter,AverageReturn,EnvExecTime,dLoss,AveragePolicyStd,ItrTime,AverageAbsQYDiff,AbsLearnSignalOld,AverageY,AverageDiscountedReturn,AverageQ,AverageAbsQ,ExplainedVariance,PolicyExecTime,Iteration,Perplexity,LossBefore,Time,AverageQLoss,ProcessExecTime,Entropy,AverageAbsY
-785.2948794164187,21,0.009760285,0.853869549794132,-61.453899700475084,0.853869549794132,211.94322953871855,0.0,8.166354,-427.49980611990367,0.47339439392089844,0.24069881,1.0,8.392274618148804,2.4533352910277424,0.853898963070123,-5.813426019868596,-212.3149832573685,-5.7513494,5.8958073,6.885603198725221e-13,0.6621716022491455,0,17.079464,8.407053,8.392287254333496,60.03372,0.020198822021484375,2.8378768,6.240992618347167
-785.8102985361706,19,0.006649012,0.7541942040256107,-91.23414132507362,0.7541942040256107,171.90005508991126,0.0,16.28044,-480.1061288067534,0.4960944652557373,0.21154594,1.0041823,7.739674806594849,1.7949069102988622,0.7547560232851536,-11.872793598960216,-217.56028195787147,-11.862905,12.097408,0.6323779783732615,0.5223495960235596,1,17.222271,16.491985,16.14731478691101,25.275831,0.020137786865234375,2.8462033,12.183960406341393
-602.7430266024481,20,0.007991413,0.44177970403101047,22.850509264473857,0.44177970403101047,153.97229192056568,0.0,19.414957,-373.0359430696775,0.527031660079956,0.24505043,1.003562,7.9191343784332275,1.6142306980877992,0.4418917380951155,-18.222631665817776,-171.64772717377642,-18.207428,18.619482,-0.30906311273143294,0.522838830947876,2,17.201242,19.660007,24.108420372009277,17.201963,0.02209615707397461,2.8449817,18.699637591060334
-643.6312042340921,18,0.0076928847,0.8139825881215548,-46.45787063663361,0.8139825881215548,163.4486710769508,0.0,21.951628,-357.7190305957996,0.5166540145874023,0.2617855,0.99659014,7.753721714019775,1.4872979114540654,0.8139254490652934,-23.672143396078518,-145.99914117625832,-23.65713,24.265858,-0.28807902598408286,0.5217654705047607,3,16.963165,22.213413,31.867223978042603,12.694447,0.02147674560546875,2.8310442,24.329803819745727
-579.0881764434449,11,0.007120233,0.4434862183067389,-166.63913110067665,0.4434862183067389,129.91762004501112,0.0,24.398136,-361.5777474150655,1.205240249633789,0.21661949,0.996441,8.362993001937866,1.76717522427065,0.44353228083992235,-27.97442189668121,-124.93944821259257,-27.959936,28.870993,-601.5400181642583,0.5376882553100586,4,16.957993,24.614756,40.27492117881775,17.885996,0.020708799362182617,2.8307393,28.93750419412065
-548.0006374194428,16,0.006905119,0.625899479211711,-26.38136581812654,0.625899479211711,140.67053345040023,0.0,27.524101,-298.0363109296642,0.5672557353973389,0.23496246,0.9966743,7.665345668792725,1.7921429301452854,0.6260002101239782,-31.387532312094333,-108.02360412553,-31.370237,32.66175,-1.5157256374749495,0.5169229507446289,5,16.96593,27.759064,47.94544076919556,18.749523,0.020979642868041992,2.8312073,32.73342369602116
-500.66050676698603,14,0.0069609247,0.3850503690267188,20.436662593403838,0.3850503690267188,142.37333038707493,0.0,23.565447,-262.7040350795575,1.8999779224395752,0.20482063,0.99686426,9.108551025390625,1.8953623531315906,0.3850395006220423,-32.688815959873494,-89.44341390606395,-32.673473,34.460724,-699.548554932348,0.6856515407562256,6,16.972364,23.770267,57.09585452079773,19.91468,0.026194334030151367,2.8315864,34.53384895685515
-455.06978040643236,12,0.0067869998,0.6598304959863861,-218.4472924563682,0.6598304959863861,79.66377363582345,0.0,29.932182,-318.23569132256245,0.6580231189727783,0.23976517,0.9969611,7.79886269569397,1.8658901068082818,0.660502250880793,-34.44381772357886,-90.12312628447778,-34.42708,36.592762,-1.313713838194801,0.5024023056030273,7,16.975666,30.171947,64.90071988105774,19.601559,0.020788192749023438,2.831781,36.6813812141791
-399.90635241988656,14,0.006808338,0.7582517125531395,-77.29598782485641,0.7582517125531395,93.73499772449276,0.0,30.205772,-254.89376880146867,0.6452858448028564,0.2259121,0.997837,7.6256890296936035,1.9456801657044904,0.7583630576964097,-35.564363696258894,-82.59120968957919,-35.550655,38.22711,-0.7562482126410803,0.534503698348999,8,17.005558,30.431684,72.56775164604187,20.517794,0.021695613861083984,2.8335402,38.308904042151084
-382.65608381147456,11,0.0067466404,0.7555647497113465,-4.676856955844869,0.7555647497113465,105.60398962921832,0.0,21.134453,-215.10557040173478,2.3282198905944824,0.19577217,0.9984964,9.487215280532837,1.916265292029948,0.7545776922937689,-35.631181282916046,-42.510819638557365,-35.61939,39.02337,0.13635429634766327,0.7206528186798096,9,17.028046,21.330225,82.05989861488342,18.717148,0.026259899139404297,2.8348618,39.10115031321939
