MeanKL,ItrTime,MaxReturn,PolicyExecTime,AverageReturn,Perplexity,EnvExecTime,ExplainedVariance,Entropy,dLoss,LossAfter,StdReturn,ProcessExecTime,MinReturn,AbsLearnSignal,Time,MeanKLBefore,NumTrajs,Iteration,LossBefore,AverageDiscountedReturn,AveragePolicyStd
0.00874257,0.6735677719116211,-348.085479265081,0.08152079582214355,-463.0883386287808,17.079468,0.06560945510864258,2.3344659538793167e-12,2.837877,0.032089166,-0.03208917,115.00285936369974,0.003582477569580078,-578.0911979924805,0.8769852274236474,0.673577070236206,0.0,2,0,-2.6848939e-09,-180.4162468769216,1.0
0.0064452006,0.3869972229003906,-37.39861746581622,0.09076380729675293,-127.46875435497638,18.055584,0.09405159950256348,-3.404529410989512,2.893455,0.0948284,-0.09482839,90.07013688916015,0.004674196243286133,-217.53889124413655,0.7221681481584037,1.0774486064910889,0.0,2,1,6.739748e-09,-40.14992772320055,1.0281844
0.0064307144,0.39615583419799805,-130.30663869914844,0.09440016746520996,-145.76435463233355,18.360945,0.08861613273620605,-3.6276006354074255,2.9102259,0.033898517,-0.03389851,17.515358833785186,0.005669593811035156,-170.2555500317277,0.847540487491228,1.4776675701141357,0.0,3,2,5.8507625e-09,-72.74295355953392,1.03695
0.008738355,0.34226274490356445,-517.4779912274797,0.06587553024291992,-573.9000965222042,17.776829,0.06270122528076172,-4.621151685506171,2.8778958,0.043821696,-0.043821704,56.42210529472453,0.0034618377685546875,-630.3222018169288,0.7651032407228205,1.8243517875671387,0.0,2,3,-6.8445525e-09,-267.52195198839536,1.0202303
0.008659929,0.38053226470947266,-198.70782997110092,0.09335136413574219,-373.88110795209036,18.155893,0.09430193901062012,-2.770713628962739,2.8989952,0.057385385,-0.057385392,235.19890766897913,0.005222320556640625,-706.3422684103517,0.6054206928341028,2.209054946899414,0.0,3,4,-7.817002e-09,-162.6384592627807,1.0310755
0.007151131,0.3911631107330322,-340.5017563792771,0.08868765830993652,-489.98425523840405,18.400724,0.08945989608764648,0.18061690415929255,2.91239,0.03899519,-0.0389952,180.3124097760777,0.005195140838623047,-743.6391279055722,0.7426863426058579,2.6058714389801025,0.0,3,5,-5.735155e-09,-252.95696209661767,1.0379624
0.0078679,0.3372671604156494,-318.93579786241116,0.06822085380554199,-367.43744415178463,18.857565,0.06598758697509766,-27.57602854558024,2.9369142,0.045502175,-0.045502193,48.50164628937347,0.0038089752197265625,-415.9390904411581,0.6142303905362614,2.9475390911102295,0.0,2,6,-1.9685938e-08,-144.00970855800745,1.050775
0.009027134,0.36943912506103516,-372.62580897578937,0.08301353454589844,-479.2128770857671,18.329979,0.08536291122436523,-17.56287726613317,2.9085379,0.025115773,-0.025115782,84.58968188348027,0.005048990249633789,-579.5438335351837,0.642521740466122,3.3218610286712646,0.0,3,7,-8.765389e-09,-242.83467978422243,1.0360142
0.008661111,0.336747407913208,-436.9133093990305,0.07285928726196289,-482.162154748845,18.153463,0.07382416725158691,-4.876595635243725,2.8988614,0.09193798,-0.091938004,32.711589150443274,0.004193305969238281,-513.1219594187495,0.7772438248295453,3.665334701538086,0.0,3,8,-2.3941615e-08,-287.2372313931449,1.0311131
0.006969281,0.35721349716186523,-247.1669110887135,0.07955360412597656,-346.5804348622571,18.42928,0.07481622695922852,-85.80532823272193,2.9139407,0.04134492,-0.041344926,70.99461050876543,0.00465846061706543,-408.45541560522446,0.7388411533389487,4.027152061462402,0.0,3,9,-7.2799566e-09,-175.096513824034,1.0388836
0.0071167084,0.41738343238830566,-306.29876516185783,0.10004687309265137,-421.8650411665143,18.255404,0.12235403060913086,-123.8636932953512,2.9044611,0.02393295,-0.023932945,115.56627600465649,0.00570368766784668,-537.4313171711708,0.6563588172993389,4.449838638305664,0.0,2,10,5.8507625e-09,-163.73208354114087,1.0339894
0.0089768,0.35344433784484863,-167.95667608771578,0.06427240371704102,-167.95667608771578,18.126719,0.09233927726745605,-4.794821031113655,2.897387,0.05339014,-0.05339013,0.0,0.0034797191619873047,-167.95667608771578,0.6702338067178988,4.810452699661255,0.0,1,11,1.1920929e-08,-122.84699555204203,1.0302969
0.009431232,0.36080002784729004,-249.65019686183908,0.0638265609741211,-249.65019686183908,17.99305,0.0822906494140625,-13.175220277259475,2.8899856,0.029157503,-0.029157484,0.0,0.003835916519165039,-249.65019686183908,0.8128173734389518,5.175724506378174,0.0,1,12,1.7881394e-08,-120.67174446802328,1.0269282
0.008490398,0.3679993152618408,-90.04583711726133,0.08063530921936035,-208.60901576495073,18.759735,0.08736348152160645,-17.02196255827563,2.9317129,0.06341621,-0.06341624,118.5631786476894,0.004521608352661133,-327.1721944126401,0.6768277818404798,5.549184322357178,0.0,2,13,-3.1177816e-08,-88.38789935078155,1.0488635
0.007859745,0.3497910499572754,-180.3910590440501,0.06493258476257324,-180.3910590440501,19.217812,0.08683919906616211,-30.558407283587503,2.9558375,0.02375115,-0.023751166,0.0,0.0034890174865722656,-180.3910590440501,0.8632307437835209,5.905915021896362,0.0,1,14,-1.4305114e-08,-72.29525901207009,1.0623274
0.0060190866,0.426957368850708,-280.59421592177966,0.11179852485656738,-438.76422368675895,19.133589,0.11006402969360352,-133.4735526458957,2.9514453,0.03055792,-0.03055792,120.73204201773113,0.006529569625854492,-573.5360791356335,0.6158651450650579,6.337440252304077,0.0,3,15,-0.0,-201.61184867121622,1.0599552
