AbsLearnSignal,MeanKLBefore,Iteration,LossBefore,MeanKL,StdReturn,MinReturn,ItrTime,PolicyExecTime,MaxReturn,Perplexity,LossAfter,AverageDiscountedReturn,dLoss,EnvExecTime,NumTrajs,Entropy,AveragePolicyStd,AverageReturn,ExplainedVariance,Time,ProcessExecTime
0.7264878251682364,0.0,0,-0.0,0.009381233,65.10915477858089,-1561.7167143513975,1.5032215118408203,0.5581793785095215,-1252.630115730945,4.132731,-0.009057519,-586.3120986798151,0.009057519,0.23574304580688477,32,1.4189384,1.0,-1368.7473038286776,3.4794389591752406e-13,1.5032322406768799,0.027538299560546875
0.7752011058350712,0.0,1,-1.1920929e-09,0.009868636,61.94765204676769,-1368.435526498748,0.8504819869995117,0.33977746963500977,-1146.6928746339513,4.1047015,-0.019196456,-541.0651552645013,0.019196454,0.23821496963500977,32,1.412133,0.9932175,-1274.5444997229054,0.9443700446674169,2.3645081520080566,0.027852296829223633
0.7935774416455995,0.0,2,-5.9604646e-09,0.008144149,88.48002715083254,-1350.4284773097472,0.8279461860656738,0.30742955207824707,-916.5829250334358,4.2520084,-0.018538395,-521.3599324035457,0.01853839,0.22156095504760742,32,1.4473914,1.0288616,-1195.1579257722246,0.9260630082731632,3.1957173347473145,0.027958154678344727
0.7995419150214849,0.0,3,-4.7683715e-09,0.0066337776,81.60718983937917,-1317.4255766075757,0.8482036590576172,0.30766797065734863,-902.9588558668092,4.3027005,-0.016643122,-479.20434273548284,0.016643116,0.24143362045288086,32,1.4592428,1.0411274,-1093.4674057495424,0.9238820447941127,4.049297332763672,0.028635263442993164
0.811269943417093,0.0,4,4.7683715e-09,0.008149403,88.91718396080852,-1208.379242573382,0.7937331199645996,0.2899894714355469,-858.3287031019173,4.4126935,-0.012961661,-473.24926329270477,0.012961666,0.2303164005279541,32,1.4844853,1.0677425,-1061.0180702604212,0.9174883309879401,4.846453666687012,0.028632402420043945
0.8145927028264895,0.0,5,2.3841857e-09,0.006847199,79.39962979804444,-1170.6535247041468,0.8288938999176025,0.3012971878051758,-854.1250350824027,4.4549966,-0.007992757,-455.57107134669906,0.007992759,0.22296595573425293,32,1.4940263,1.0779791,-994.0582778055814,0.9194047382144204,5.678575038909912,0.028746843338012695
0.7998318264925675,0.0,6,-0.0,0.009067062,88.77598893930174,-1186.430630724814,0.7945208549499512,0.29859185218811035,-858.930301960219,4.526599,-0.011040602,-452.9258741748195,0.011040602,0.2186896800994873,32,1.5099709,1.0953044,-1001.3250422517854,0.9213922226418051,6.478862285614014,0.027173519134521484
StdReturn,MaxReturn,LossAfter,Time,Perplexity,Iteration,AverageReturn,AveragePolicyStd,MinReturn,ProcessExecTime,MeanKL,ItrTime,ExplainedVariance,PolicyExecTime,AbsLearnSignal,NumTrajs,LossBefore,Entropy,MeanKLBefore,EnvExecTime,AverageDiscountedReturn,dLoss
67.24963712818219,-1172.0467486228895,-0.0049632643,1.3730759620666504,4.132731,0,-1344.1294499689093,1.0,-1546.5108114285922,0.027578353881835938,0.0068160994,1.37306547164917,3.730349362740526e-13,0.47254419326782227,0.7369295806906767,32,4.7683715e-09,1.4189384,0.0,0.22767853736877441,-567.4794499268075,0.004963269
80.48678412244048,-1153.8727331673176,-0.019089093,2.2439229488372803,4.1409974,1,-1307.1515144709203,1.0020005,-1509.8958613683765,0.03120732307434082,0.009733942,0.8598957061767578,0.9511077273703256,0.31689953804016113,0.7823294165668176,32,-4.7683715e-09,1.4209367,0.0,0.24457979202270508,-558.097203405332,0.019089088
