NumTrajs,AverageDiscountedReturn,dLoss,StdReturn,Entropy,Time,LossAfter,Iteration,MinReturn,LossBefore,MeanKLBefore,ItrTime,MaxReturn,PolicyExecTime,AbsLearnSignal,Perplexity,ExplainedVariance,ProcessExecTime,EnvExecTime,MeanKL,AveragePolicyStd,AverageReturn
3,-281.8031130889929,0.041440133,347.570558303181,2.837877,0.7198083400726318,-0.04144012,0,-1082.1708469262794,1.18419825e-08,0.0,0.7197997570037842,-247.14377162724838,0.10215330123901367,0.851122022240618,17.079468,3.823608096809039e-13,0.004786014556884766,0.08193111419677734,0.009428533,1.0,-616.7324188120516
3,-290.2473649907499,0.019521575,110.05270080675105,2.8141482,1.093301773071289,-0.019521568,1,-641.3323718683681,7.2799566e-09,0.0,0.3586759567260742,-378.7212516295824,0.07581663131713867,0.668473491655576,16.678963,-5.043900259720786,0.004431962966918945,0.06754231452941895,0.0058588637,0.9882068,-527.5980506924202
3,-308.6306350941301,0.024537725,435.15975541131445,2.8103242,1.47078275680542,-0.024537755,2,-1130.90031013904,-2.9231396e-08,0.0,0.3724684715270996,-65.7850561540779,0.08108186721801758,0.5629839220047813,16.615303,0.18568361642018316,0.004960298538208008,0.0753016471862793,0.0060391636,0.9863714,-586.3928850089345
3,-342.6672168742477,0.04345453,19.656072476414312,2.8108623,1.8349814414978027,-0.043454546,3,-635.7517022676114,-1.4844931e-08,0.0,0.3575401306152344,-587.6178227929629,0.08087801933288574,0.699612101669188,16.624247,-1.8860337887847654,0.004730939865112305,0.07106161117553711,0.009269637,0.986587,-612.0134921441444
3,-293.0495576131322,0.03430844,67.61902523977052,2.8570275,2.1834819316864014,-0.03430844,4,-601.3506424989218,-1.8339891e-09,0.0,0.34400081634521484,-437.6859134223565,0.07720112800598145,0.8084680278252705,17.4097,0.5700547938613862,0.00436854362487793,0.06592321395874023,0.005388189,1.0096327,-512.1706485098412
2,-281.6362765151259,0.04585129,154.28138374089076,2.8761544,2.510759115219116,-0.045851294,5,-774.0734024545039,-3.4387295e-09,0.0,0.3214302062988281,-465.5106349727224,0.06437873840332031,0.8630973086235852,17.7459,0.24203207196316734,0.0036325454711914062,0.059295654296875,0.005884623,1.0193329,-619.7920187136132
3,-336.1043056635776,0.064591296,325.4904671217146,2.8656116,2.8861911296844482,-0.06459129,6,-980.1578785657255,6.885735e-09,0.0,0.37082409858703613,-192.6716232427974,0.08444643020629883,0.7428872685435132,17.559788,-10.796979649620543,0.0051152706146240234,0.07793545722961426,0.009341451,1.0139766,-622.3888883738194
3,-311.70266968281595,0.049182754,266.9651098369437,2.8529568,3.265453338623047,-0.049182776,7,-847.2948827823304,-2.1105906e-08,0.0,0.3749713897705078,-252.60655803868477,0.08975386619567871,0.5306464679193421,17.338974,-7.139751280085104,0.005053281784057617,0.08347654342651367,0.009404857,1.0075784,-628.4618744137789
3,-330.8199356976287,0.030130649,141.3074828414824,2.8605611,3.6428399085998535,-0.030130623,8,-808.3359454820293,2.6958991e-08,0.0,0.3712012767791748,-472.96207013975084,0.08432936668395996,0.7368067383912743,17.471329,0.01048188686807594,0.0048639774322509766,0.07679200172424316,0.006112796,1.011422,-615.9319557012685
3,-179.21570410508954,0.02527973,201.0716754401432,2.8556798,3.9906980991363525,-0.025279732,9,-486.7735658390653,-1.4478861e-09,0.0,0.34240007400512695,-56.22926565759147,0.07639336585998535,0.7927750051653356,17.386251,-0.34320365920613716,0.004451751708984375,0.06654930114746094,0.009873656,1.0089417,-340.5488134588158
3,-179.65796763266803,0.031484645,102.8157911510121,2.8076117,4.356303453445435,-0.031484634,10,-481.4617740678275,1.2265907e-08,0.0,0.3607974052429199,-256.86086386559987,0.08922386169433594,0.6129199860757316,16.570295,-40.971036809937395,0.005184650421142578,0.07987213134765625,0.009784418,0.9850069,-402.05122698875766
3,-175.52462316073834,0.040247735,187.85911700071998,2.8087568,4.713910341262817,-0.04024775,11,-494.46042104844673,-1.4357323e-08,0.0,0.35308361053466797,-85.7529172403598,0.08126306533813477,0.6043173009131505,16.589283,-4.021534487235456,0.004730939865112305,0.07450509071350098,0.0066539748,0.9857425,-351.14249426150405
2,-212.898668945378,0.0546137,63.27287564362507,2.8120177,5.038628816604614,-0.054613702,12,-555.4914653404161,-4.5197837e-09,0.0,0.3206186294555664,-428.94571405316594,0.06613659858703613,0.686617315249531,16.643465,-31.656188712179386,0.0037856101989746094,0.06542468070983887,0.006470407,0.987562,-492.218589696791
3,-158.63828080072057,0.05152198,135.1024083285977,2.7889473,5.369251251220703,-0.051521964,13,-410.14351579069364,1.5634004e-08,0.0,0.3260462284088135,-98.52894232829091,0.0715785026550293,0.639950236567131,16.263891,-5.103395421648526,0.004119396209716797,0.06251144409179688,0.0076238033,0.9762645,-286.497699308544
3,-226.65085900119087,0.045980852,259.0669211564286,2.7855248,5.71358060836792,-0.045980845,14,-659.9590107756877,5.745026e-09,0.0,0.33753228187561035,-38.78836532647247,0.07516884803771973,0.5265126570211176,16.208323,-23.979924371538445,0.004296302795410156,0.07033395767211914,0.008318615,0.9746666,-386.83594356360953
3,-274.8705146179093,0.065992214,149.67785473694533,2.7757378,6.095356702804565,-0.06599222,15,-661.4858814283967,-6.8119594e-09,0.0,0.37705326080322266,-319.2938601246698,0.08469796180725098,0.7276424364534751,16.050465,-0.27546015511683053,0.004898548126220703,0.07655119895935059,0.009767208,0.97023034,-528.3869997777205
3,-147.5297974005289,0.05912568,164.62261986398428,2.7708516,6.451323747634888,-0.059125684,16,-514.5640825609121,-3.3818237e-09,0.0,0.34963059425354004,-111.44410076999219,0.08305072784423828,0.7671174599025125,15.97223,-0.3462377044498113,0.005007266998291016,0.07378959655761719,0.009312153,0.9679795,-315.8606937579682
