MaxReturn,MeanKL,Time,AverageReturn,PolicyExecTime,EnvExecTime,LossBefore,StdReturn,LossAfter,ItrTime,MeanKLBefore,Entropy,Perplexity,AbsLearnSignal,Iteration,MinReturn,AveragePolicyStd,dLoss,ProcessExecTime,AverageDiscountedReturn,NumTrajs,ExplainedVariance
-309.6815943726752,0.0066416883,0.6827952861785889,-406.7568312104246,0.0747213363647461,0.055809736251831055,1.1212755e-08,97.0752368377494,-0.03109431,0.6827871799468994,0.0,2.837877,17.079468,0.8786460190330337,0,-503.832068048174,1.0,0.031094322,0.0032804012298583984,-197.41297866989987,2,1.7391643680753077e-12
-359.4665282113868,0.006638551,1.02211594581604,-412.8316319986741,0.06670379638671875,0.059767723083496094,-0.0,53.365103787287296,-0.04217047,0.32399559020996094,0.0,2.8104515,16.61742,0.701892265825117,1,-466.1967357859614,0.9864427,0.04217047,0.003718137741088867,-199.50226423046786,2,-10.636782308450186
-89.36107373840335,0.00961403,1.3818645477294922,-199.27089866697608,0.07892346382141113,0.06820178031921387,-0.0,115.18778146533818,-0.04699528,0.35372376441955566,0.0,2.8102865,16.614677,0.7521862510363061,2,-358.351745876107,0.98630047,0.04699528,0.004503726959228516,-107.9717921056385,3,-1.337958975318073
-495.8507639971778,0.008000554,1.7542648315429688,-508.75066436287,0.07093429565429688,0.06970882415771484,-5.033281e-09,12.899900365692218,-0.044097804,0.36553144454956055,0.0,2.8308544,16.959946,0.7605388821682426,3,-521.6505647285622,0.99651,0.0440978,0.0038962364196777344,-220.77715347875161,2,-47.33650857503593
-435.1944385692239,0.0081619825,2.1763572692871094,-467.9969038634769,0.10617780685424805,0.11390519142150879,1.1782314e-08,25.437090243949527,-0.034752112,0.41725826263427734,0.0,2.8195436,16.769196,0.8130961895615062,4,-497.1874696864474,0.9909103,0.034752123,0.0062978267669677734,-188.495522039188,3,-2.2512235883007374
-339.3599619585286,0.0069171716,2.5809006690979004,-445.26507806850543,0.09496641159057617,0.10743284225463867,9.111538e-09,105.90511610997683,-0.114017606,0.4002509117126465,0.0,2.810095,16.611498,0.6409089531459639,5,-551.1701941784822,0.9862099,0.11401761,0.00536799430847168,-138.08191323922097,2,-2.5383451761077582
-171.8473899064337,0.0065222164,2.9735517501831055,-347.74755434637,0.08353376388549805,0.09253859519958496,2.2706532e-08,175.9001644399363,-0.108073525,0.38834595680236816,0.0,2.8127978,16.656454,0.707477556393692,6,-523.6477187863063,0.9875473,0.10807355,0.004920005798339844,-141.3366163103986,2,-3.7566567324550357
-322.39662757323015,0.007655173,3.3097457885742188,-373.4722578437403,0.06411600112915039,0.06497645378112793,-1.18029e-08,51.075630270510146,-0.045437757,0.3319284915924072,0.0,2.821932,16.809296,0.7703235439307664,7,-424.54788811425044,0.99206394,0.045437746,0.0035135746002197266,-155.72463615493507,2,-9.372261709184981
-310.2125909335052,0.008298889,3.68800687789917,-380.0261014488771,0.09102463722229004,0.08477234840393066,-1.1334654e-08,54.58327145373049,-0.019739017,0.3743925094604492,0.0,2.8146405,16.687176,0.6982851929285833,8,-443.4557527030689,0.9884552,0.019739006,0.005075693130493164,-180.56976422524727,3,-0.796889802216451
-361.19293747950167,0.008950476,4.050511360168457,-390.9906057233106,0.0839698314666748,0.08725261688232422,1.3721933e-08,29.797668243808914,-0.026464662,0.3579981327056885,0.0,2.795281,16.367226,0.7096830387036566,9,-420.7882739671195,0.9789828,0.026464675,0.00458216667175293,-134.09979556029057,2,-13.68303540721316
-159.33799610203994,0.008558439,4.496201992034912,-425.4975880662239,0.10759425163269043,0.1340618133544922,5.3129487e-09,266.15959196418396,-0.02740106,0.44147324562072754,0.0,2.7735078,16.014713,0.5909984410571383,10,-691.6571800304079,0.9685834,0.027401065,0.005864858627319336,-122.4115067521684,2,-0.041707880159240096
-153.7205812224169,0.009672397,4.907912731170654,-289.7165569202666,0.10021090507507324,0.11814284324645996,-2.2980103e-08,135.9959756978497,-0.044870898,0.407076358795166,0.0,2.7895086,16.273022,0.6587673195947932,11,-425.7125326181163,0.97611487,0.044870876,0.005883216857910156,-102.18910888331716,2,-6.606272924210592
-404.41423538550254,0.00975304,5.30303692817688,-426.64067582331586,0.08777856826782227,0.10172843933105469,-5.7748446e-09,22.226440437813324,-0.031601842,0.3900902271270752,0.0,2.8068237,16.557245,0.7236114908262707,12,-448.8671162611292,0.98462844,0.031601835,0.004891633987426758,-151.06499565432225,2,-2.492996087578505
-276.0772099868153,0.006161036,5.7514564990997314,-457.7988048253004,0.11125850677490234,0.13646912574768066,-1.1887907e-08,181.7215948384851,-0.035222985,0.4425382614135742,0.0,2.8518462,17.319729,0.4856996253325538,13,-639.5203996637855,1.007194,0.035222974,0.006067991256713867,-108.57532436455242,2,-5.475294842071788
-435.11666530395576,0.0078004543,6.090894937515259,-475.02392088228163,0.06833577156066895,0.06866168975830078,8.709354e-09,39.907255578325874,-0.027732866,0.33550500869750977,0.0,2.8605201,17.470612,0.7863603443205004,14,-514.9311764606075,1.011577,0.027732875,0.003947734832763672,-213.46318964280786,2,-4.310534890242237
-406.04302946788187,0.0075800493,6.51077127456665,-419.5384120812512,0.0896921157836914,0.11176514625549316,9.73137e-09,13.495382613369316,-0.02173331,0.41543006896972656,0.0,2.868353,17.607992,0.8887099400554862,15,-433.0337946946205,1.0153588,0.02173332,0.005162954330444336,-149.24547062949674,2,-1.9872008206118417
