AverageY,MinReturn,dLoss,Iteration,AverageQLoss,AverageDiscountedReturn,ExplainedVariance,AbsLearnSignalNew,StdReturn,AbsLearnSignalOld,Time,ProcessExecTime,AverageAbsQYDiff,LossBefore,Perplexity,AverageAbsY,MaxReturn,PolicyExecTime,ItrTime,MeanKLBefore,NumTrajs,EnvExecTime,MeanKL,AverageAbsQ,Entropy,AverageQ,AbsLearnSignal,AverageReturn,AveragePolicyStd,LossAfter
-1.0742608925927415,-284.45340812533397,0.25322843,0,71.89362,-53.32181600698097,3.8155034687292755e-12,0.7089463308116671,91.53242944346611,0.7085548780867894,4.566795825958252,0.016453027725219727,2.31905993678177,1.9736942,17.079468,2.7092645844055734,3.4204959048841914,0.6041908264160156,4.566784858703613,0.0,9,0.29572200775146484,0.009974819,1.8324848,2.837877,-1.0059915,0.7089463308116671,-121.91032376377962,1.0,1.7204658
-1.9964534890482921,-381.47529052160877,0.21637893,1,37.063328,-69.12931926338133,-0.5129988473724356,0.5543911752856331,105.2955788800718,0.5526688249700712,8.614938497543335,0.015337944030761719,1.9620768533188564,2.5190108,17.033049,3.174758446652848,-61.494260205215504,0.44858264923095703,4.034270763397217,0.0,9,0.26062798500061035,0.009813264,3.058125,2.8351555,-1.9697832,0.5543911752856331,-159.431421231556,0.99864066,2.3026319
-2.7768085487144236,-278.95612444231125,0.16806984,2,24.09575,-48.78621230360067,0.07940061360370787,0.6993416735582616,76.51546426793448,0.7009119652598437,12.57482361793518,0.015500783920288086,1.6546278984195784,3.5737796,17.078588,4.02240634152831,-41.3849710464621,0.46311211585998535,3.954115867614746,0.0,9,0.2679722309112549,0.006734671,3.8836067,2.8378255,-2.7632637,0.6993416735582616,-128.00102008583974,0.9999739,3.4057097
-4.551665402418232,-306.7984528979607,0.19129372,3,33.606056,-39.49857067785264,-2.808894894368371,0.6359250995054695,95.62964054403838,0.6353543384091321,16.868204593658447,0.016136646270751953,2.011922572961144,8.972263,17.240063,6.17029857618821,-41.04137371598418,0.4917778968811035,4.249675273895264,0.0,7,0.42726588249206543,0.007135023,5.904063,2.847236,-4.537677,0.6359250995054695,-146.24366961864965,1.0047,8.78097
-4.922268785828449,-161.13714539883182,0.17263365,4,26.256132,-31.513997385245833,-0.39876291893365323,0.690688830843597,45.7063075089574,0.689583071105932,20.94907855987549,0.016640186309814453,1.8788829595260896,4.228988,17.23754,7.054025340225238,-11.866136947414148,0.49690723419189453,4.074775695800781,0.0,8,0.3094058036804199,0.00694008,6.89475,2.8470895,-4.9139495,0.690688830843597,-91.54214737386101,1.004627,4.0563545
-5.231497079804448,-159.07728446248348,0.18037891,5,24.099815,-28.10322219139712,-1.8186963102707958,0.5522405853508275,54.08433219317111,0.5536547739428764,25.145811796188354,0.015912771224975586,1.8432172098847768,5.5668616,17.326403,8.22687594770974,20.515179439981907,0.46282267570495605,4.1910035610198975,0.0,6,0.33766674995422363,0.006825451,8.047072,2.8522315,-5.222903,0.5522405853508275,-57.17232526604747,1.007223,5.3864827
-7.4393084168385295,-153.8849973809848,0.1322155,6,21.657387,-24.556448486739356,-11344.77237528863,0.48084374675011665,70.95579869705496,0.4808591789187684,31.299538612365723,0.028514385223388672,1.9798265942189457,15.648712,17.263628,10.696835930415407,48.78456214011757,0.9100160598754883,6.112843990325928,0.0,7,1.891366958618164,0.006844812,10.536124,2.8486018,-7.4339666,0.48084374675011665,-75.04999997939355,1.0053982,15.516497
-7.313702402582647,-284.9699917600588,0.14487743,7,19.415318,-21.791723959626708,-8.892764286612586,0.4893550838162208,112.90666355298973,0.4896370180200018,35.431546449661255,0.01608109474182129,1.8867633108318458,6.5571003,17.221453,11.374527749437464,40.69023624995657,0.47659826278686523,4.124357223510742,0.0,6,0.36078882217407227,0.0067957384,11.224371,2.846156,-7.305925,0.4893550838162208,-140.80504993666716,1.0041994,6.412223
-7.559272348402347,-233.28726674824495,0.13265324,8,19.422579,-23.315586029399032,-1.0017630115850618,0.6291137104264019,106.80659831239271,0.6295416168726896,39.71759390830994,0.018395662307739258,1.8457961157615383,9.074592,17.227749,12.424771132496735,54.45618211402683,0.5440449714660645,4.246382236480713,0.0,6,0.4479975700378418,0.0065369434,12.271852,2.8465214,-7.557652,0.6291137104264019,-142.43930972636937,1.0043837,8.941938
-7.511175244898901,-469.15570201142464,0.17218304,9,15.796905,-38.77279751623414,-1.6308412535751766,0.5994138532687656,140.3849788599253,0.599317518525446,43.98974895477295,0.01687026023864746,1.7536928052363019,8.597074,17.224466,13.019948476476019,-46.31524047675869,0.5183179378509521,4.26703667640686,0.0,5,0.46749019622802734,0.006814706,12.875,2.846331,-7.5063424,0.5994138532687656,-273.61814365629306,1.0042894,8.4248905
-7.351707259207833,-278.18701154864596,0.15038967,10,14.421217,-14.495736711262861,-3.9168263685535347,0.6616260205370839,95.46192737246436,0.6620018951237073,48.45755934715271,0.01802229881286621,1.6945720917541676,9.123948,17.26686,13.678088012907082,-48.381469169968085,0.5741827487945557,4.462360858917236,0.0,5,0.5858659744262695,0.006730133,13.540893,2.848789,-7.3509126,0.6616260205370839,-145.0082426743216,1.0055405,8.973558
-7.34609580943079,-362.1901757334076,0.15518284,11,15.260291,-32.963999038728474,-0.756137782501793,0.7928392212975677,93.63329429511867,0.7923381762610464,52.748149156570435,0.015993356704711914,1.7327691831543939,8.849566,17.299177,14.458904045278127,-157.05013898881333,0.4937450885772705,4.249990463256836,0.0,4,0.4878668785095215,0.0066733942,14.322532,2.850659,-7.3449535,0.7928392212975677,-258.44785849156244,1.0065322,8.694384
-7.257218484185322,-457.6096294648085,0.16113901,12,14.139141,-16.40463849385271,-0.0004779533669314606,0.4808123936297942,155.25106175966638,0.47999867031364984,57.71840763092041,0.021502017974853516,1.7077465427383007,7.7080865,17.263006,15.038578017357086,-66.20350620897426,0.6443912982940674,4.964773178100586,0.0,4,0.9782471656799316,0.006705198,14.887073,2.8485658,-7.256098,0.4808123936297942,-308.1722773276919,1.0055451,7.5469475
-6.982065339852861,-442.868790957052,0.1342411,13,14.866781,5.163420272078364,-22.738120237716647,0.4979156435841546,101.97829142735755,0.49806537170023907,62.584686517715454,0.015288829803466797,1.7292121340339084,8.638005,17.20624,15.47549328691265,-238.9122081023369,0.49921607971191406,4.861129999160767,0.0,2,1.0514230728149414,0.0065174554,15.314074,2.845272,-6.9753885,0.4979156435841546,-340.89049952969447,1.0038671,8.503764
-6.592134605185718,-403.93877872466925,0.16582727,14,12.053276,-5.708786717802816,0.03959310271977612,0.5840259738498704,143.5574376474264,0.5815816942369427,67.98253870010376,0.02206134796142578,1.644465219814037,6.0625906,17.198635,15.496793877039352,-68.06293386311927,0.6945621967315674,5.357728719711304,0.0,3,1.3384754657745361,0.006605836,15.364363,2.84483,-6.589532,0.5840259738498704,-266.05614459993166,1.003642,5.8967633
-6.25562406721326,-344.9182840352147,0.12724495,15,13.162398,-1.801734494955984,0.820556375170045,0.7892464357221268,32.196332631492055,0.7901265062624289,72.92947244644165,0.016254425048828125,1.6984204921884671,6.4452944,17.217922,15.890759249283944,-280.5256187722306,0.5094149112701416,4.9415013790130615,0.0,2,1.1003828048706055,0.009995962,15.762567,2.8459508,-6.2533545,0.7892464357221268,-312.72195140372264,1.0041527,6.3180494
-5.732333135383364,-271.96377046087287,0.1654191,16,14.08949,-2.870191050797306,-3.6618236054996878,0.4100813330541363,25.315728750033486,0.40987036120190046,77.57693576812744,0.01773858070373535,1.6907397560589417,7.2526593,17.225794,15.931507291469588,-215.76398717890282,0.551781177520752,4.607689142227173,0.0,3,0.7289776802062988,0.0069867866,15.797082,2.846408,-5.728679,0.4100813330541363,-251.4297071063966,1.0043882,7.08724
-5.351121331976058,-308.41843460878863,0.15297985,17,13.136394,13.423711669186522,0.3148113460600124,0.5798555987151769,73.48735137580066,0.5745159377817922,82.58444476127625,0.019396066665649414,1.6645405230040544,6.0592113,17.234383,16.013632390973054,-129.66965369565455,0.5860424041748047,5.002511501312256,0.0,3,1.1043791770935059,0.006612051,15.885477,2.8469064,-5.346917,0.5798555987151769,-212.91203662714784,1.0046266,5.9062314
-5.448775111522531,-292.8334638741767,0.15023899,18,13.847253,13.093705199630271,-1.6377771079483194,0.808432597195882,179.13859961171585,0.8082743697947823,88.50063014030457,0.028635263442993164,1.6789731614310717,12.840377,17.228155,16.49447404958265,106.51453316551377,0.9275271892547607,5.91114616394043,0.0,3,1.7266876697540283,0.0066257524,16.3706,2.846545,-5.4457436,0.808432597195882,-145.6515318068498,1.0044498,12.690138
-5.40239552933931,-217.07781934356242,0.14759254,19,15.584092,24.1469417794604,0.7075322075873567,0.5351676982326304,172.70758258658233,0.5234730223750389,93.86465048789978,0.021097421646118164,1.7650552438740725,11.314927,17.18662,16.745490080778374,128.33734582960224,0.6719474792480469,5.323596000671387,0.0,2,1.3592379093170166,0.0064576436,16.629482,2.8441312,-5.4021935,0.5351676982326304,-44.37023675698009,1.0032196,11.167335
-4.470542729428156,-127.30776290380807,0.15506148,20,13.27541,24.618793102652965,0.21328580015258924,0.728972144914785,75.11430219270252,0.7231249775339127,101.18502807617188,0.026821374893188477,1.6540194854815127,3.4812603,17.155336,16.25028723560636,22.920841481596966,0.8768086433410645,7.315410375595093,0.0,2,3.168264627456665,0.009972058,16.119087,2.8423092,-4.46634,0.728972144914785,-52.19346071110555,1.0023149,3.3261988
-4.749847833411606,54.285149412985746,0.1300602,21,13.993354,35.788285816899624,-2.9161756938590906,0.7591934917043316,0.0,0.762890247459083,106.11080956459045,0.014963388442993164,1.6886001435134879,26.992699,17.254004,17.05645054040231,54.285149412985746,0.5048491954803467,4.885544061660767,0.0,1,1.0902822017669678,0.00997471,16.941874,2.8480442,-4.746834,0.7591934917043316,54.285149412985746,1.0051883,26.862638
-3.521970023021476,-62.64720607640318,0.06769192,22,12.443297,31.57142794019205,-2.384131712761031,0.5571217789916688,0.0,0.5548870785587937,111.19079446792603,0.014682769775390625,1.6320869072061843,-1.3734634,17.292418,16.74315562436921,-62.64720607640318,0.47683215141296387,5.073992967605591,0.0,1,1.3622336387634277,0.006906344,16.616995,2.8502681,-3.5214832,0.5571217789916688,-62.64720607640318,1.0062965,-1.4411553
-2.771987937795879,-96.83183379483263,0.09140682,23,14.535483,35.02640132886588,-5.275706021832111,0.816762487299935,0.0,0.8180772605510799,116.85919833183289,0.014943599700927734,1.692682101843738,-3.1995225,17.317524,16.918491385868574,-96.83183379483263,0.48970890045166016,5.663467168807983,0.0,1,1.8755409717559814,0.009165689,16.796675,2.851719,-2.7722666,0.816762487299935,-96.83183379483263,1.0070323,-3.2909293
-1.553880209491821,-76.95719988092713,0.10217905,24,13.588803,9.698266744230223,-5.355579721108376,0.682243299735846,0.0,0.6794300393380702,122.00076532363892,0.01463937759399414,1.667022992012957,-6.603914,17.40421,16.50824594661648,-76.95719988092713,0.4740712642669678,5.101751089096069,0.0,1,1.2632455825805664,0.008045711,16.402514,2.856712,-1.5532857,0.682243299735846,-76.95719988092713,1.0094845,-6.706093
-0.5096786728097795,-90.96195575325333,0.037614822,25,14.207822,3.5600924122710103,0.4956804707678799,0.7621733060923296,0.0,0.7491233441161417,127.86932587623596,0.0150299072265625,1.6681835990070968,-2.625739,17.39381,16.398647690810314,-90.96195575325333,0.5011675357818604,5.863122940063477,0.0,1,2.0917887687683105,0.0072562536,16.298622,2.8561144,-0.5063216,0.7621733060923296,-90.96195575325333,1.0091639,-2.663354
0.6142451757753348,-31.108494423911694,0.0529387,26,11.583766,30.57719059678619,-6.416770721693662,0.7059741490334921,0.0,0.7063919546300428,133.12496542930603,0.014795780181884766,1.5964546394210648,-2.8918169,17.331356,16.10551884263785,-31.108494423911694,0.49249863624572754,5.216043949127197,0.0,1,1.4361867904663086,0.0065531405,16.036095,2.8525174,0.6107904,0.7059741490334921,-31.108494423911694,1.0073543,-2.9447556
1.5412799872198266,-65.0116162613508,0.057225227,27,11.702069,20.924784536065257,-0.9866419058959326,0.7589582798714902,0.0,0.7624465985682768,138.25760650634766,0.014700651168823242,1.589903615701992,-6.4385366,17.296076,16.009775110245446,-65.0116162613508,0.48236727714538574,5.124488592147827,0.0,1,1.291804313659668,0.007561699,15.936169,2.8504796,1.5398359,0.7589582798714902,-65.0116162613508,1.0063367,-6.495762
2.446820762035453,-4.770349905821649,0.034235,28,12.5643835,41.59957854444941,-18.316695170075672,0.766093459649423,0.0,0.7682944637930276,143.9488501548767,0.014661550521850586,1.625203877492782,-5.2045383,16.84875,15.861596967551204,-4.770349905821649,0.48610925674438477,5.651765823364258,0.0,1,1.8714487552642822,0.007079033,15.763383,2.8242764,2.4453719,0.766093459649423,-4.770349905821649,0.99325794,-5.2387733
