LossBefore,ItrTime,Iteration,AverageDiscountedReturn,MinReturn,StdReturn,Time,AveragePolicyStd,AverageReturn,AbsLearnSignal,ExplainedVariance,dLoss,PolicyExecTime,LossAfter,Perplexity,EnvExecTime,MeanKL,NumTrajs,Entropy,ProcessExecTime,MaxReturn,MeanKLBefore
2.9009104e-08,1.6259028911590576,0,-289.50036499170886,-917.9865827220955,197.34042509882394,1.6259264945983887,1.0,-545.6087701670754,0.8222877398369601,7.832623438730479e-13,0.019553935,0.6102383136749268,-0.019553905,17.079464,0.44755125045776367,0.009205463,23,2.8378768,0.018962383270263672,-181.9647469557721,0.0
-0.0,1.196242332458496,1,-242.6249554813965,-1159.4015546605578,225.22161532299813,2.832855701446533,1.0002698,-484.7021876225537,0.7446922342163309,0.6908885990095648,0.022826718,0.49785590171813965,-0.022826718,17.08704,0.4620485305786133,0.00992035,22,2.8383203,0.01948833465576172,-118.81331807810838,0.0
2.339731e-10,1.1655521392822266,2,-229.5448206090208,-730.0324767744034,165.49211846677196,4.003596305847168,0.9967924,-440.20834088231635,0.7034310302297743,0.6517838880219429,0.022967678,0.4936215877532959,-0.022967678,16.954653,0.44172000885009766,0.0075115985,22,2.8305423,0.020021677017211914,-98.29151058071021,0.0
3.7089911e-09,1.172802209854126,3,-164.38549358776646,-738.3925591506264,219.94549053798863,5.181077480316162,0.9949608,-331.47219870237126,0.7711949421129867,0.7627965896914499,0.027301785,0.48766160011291504,-0.02730178,16.89072,0.43385934829711914,0.00922114,22,2.8267643,0.019315004348754883,-37.529727993271536,0.0
-7.8586835e-09,1.1642355918884277,4,-150.03179220238093,-759.5650125422709,206.2770125123147,6.349658489227295,0.99519587,-309.5816439872226,0.4553093299092046,0.2814659276460628,0.044772997,0.4956634044647217,-0.044773005,16.898304,0.44176268577575684,0.009318858,22,2.8272133,0.01980280876159668,-62.213698662375435,0.0
5.539251e-09,1.1517555713653564,5,-156.0681815101535,-791.3156000428005,180.79623083732906,7.50549054145813,1.0108309,-315.5836100411499,0.7223082336683179,0.6725125013410275,0.037557013,0.48603367805480957,-0.03755701,17.440746,0.4372537136077881,0.007059415,23,2.8588092,0.0196990966796875,-86.94945362537214,0.0
-7.450581e-09,1.1710879802703857,6,-150.12678031301195,-702.2873669029537,218.2209532780107,8.680678844451904,1.0120399,-318.8640759220394,0.6951041271131055,0.7724131418444562,0.021374807,0.505037784576416,-0.021374814,17.471111,0.4416623115539551,0.008794015,22,2.8605487,0.01976752281188965,-43.63442172972537,0.0
-5.539251e-09,1.131342887878418,7,-104.17607100488512,-544.8399358254553,164.01325546446355,9.817148208618164,1.0208722,-214.64223238953963,0.7427863863920718,0.2819654077679663,0.019594705,0.475386381149292,-0.01959471,17.759985,0.4234743118286133,0.0067862365,23,2.8769479,0.019466638565063477,-39.76326218958972,0.0
3.696412e-09,1.1975493431091309,8,-100.88018810690396,-577.5525504792349,140.5377071887298,11.019184350967407,1.021852,-203.51278050325445,0.546185537784155,-0.9692505942890906,0.028886776,0.49927258491516113,-0.028886773,17.781746,0.45911502838134766,0.007103372,22,2.8781724,0.020902633666992188,-14.38312561760246,0.0
6.134471e-09,1.180227279663086,9,-137.85889610913074,-597.3693282141735,163.91353587477627,12.236756086349487,1.0225916,-311.2961907510179,0.8185568174750446,0.23426894730115722,0.013175133,0.493213415145874,-0.013175126,17.806835,0.43515706062316895,0.0069375127,20,2.8795824,0.019445419311523438,-70.51957095267466,0.0
3.0327216e-09,1.164522647857666,10,-120.4999733693947,-589.0087851155536,149.27725257753843,13.405593633651733,1.0339599,-272.21224491849546,0.5819150380601521,-0.14808434804141601,0.04541504,0.4868643283843994,-0.045415036,18.202456,0.4405992031097412,0.009342917,21,2.9015565,0.019303560256958008,-52.885815351193116,0.0
7.4615105e-09,1.1122817993164062,11,-95.05075838321342,-528.0173066859763,122.87486017548801,14.522287368774414,1.038127,-196.98799128512158,0.7618775530782587,0.42393471593713006,0.02195363,0.463578462600708,-0.021953622,18.34783,0.42349696159362793,0.009455742,23,2.9095113,0.019577741622924805,-62.41854125861946,0.0
-1.3766329e-08,1.152144432067871,12,-69.44242498992058,-527.1945964204193,103.83173821026341,15.6792311668396,1.0579755,-150.24263256339353,0.1788809954589823,-12.309538374615492,0.072317205,0.4841117858886719,-0.07231722,19.02523,0.44071459770202637,0.007196929,22,2.945766,0.019927978515625,-11.849471079881923,0.0
4.697903e-09,1.1753506660461426,13,-80.46407438017602,-535.2339291176651,126.17501200629597,16.858708143234253,1.0635953,-187.48743508100725,0.6298810350764186,0.39921900749593475,0.033252973,0.49057745933532715,-0.03325297,19.228903,0.4549579620361328,0.0071527604,21,2.9564145,0.020061492919921875,-54.87761892288613,0.0
-0.0,1.117856502532959,14,-83.56084248938902,-469.6503490521669,112.30779065206085,17.9812650680542,1.0547357,-166.97835217580277,0.6728642377468833,-0.40073353981938187,0.026381155,0.47669315338134766,-0.026381155,18.884697,0.41741228103637695,0.009098215,22,2.9383519,0.019101858139038086,0.6318079882504719,0.0
3.6347758e-09,1.1952455043792725,15,-84.30948485225007,-455.6764197356928,107.48578582044966,19.18080711364746,1.0504866,-185.92089182130337,0.5621653590510178,0.014807825372546213,0.016518433,0.5023119449615479,-0.016518429,18.735826,0.4633762836456299,0.009182302,22,2.9304376,0.02027726173400879,-41.018514549317054,0.0
