AveragePolicyStd,AbsLearnSignal,AverageReturn,LossBefore,ExplainedVariance,Time,EnvExecTime,AverageAbsY,AverageDiscountedReturn,AverageY,Iteration,ItrTime,AverageAbsQ,AverageQ,AbsLearnSignalOld,AverageAbsQYDiff,MeanKL,MaxReturn,NumTrajs,ProcessExecTime,Entropy,StdReturn,PolicyExecTime,AbsLearnSignalNew,dLoss,LossAfter,MinReturn,MeanKLBefore,AverageQLoss,Perplexity
1.0,0.8269656465089857,-258.98219538483846,3.8210425,2.1839197117401454e-12,8.136372089385986,0.5464842319488525,3.659005046442574,-106.22519334672774,-2.6357540458441577,0,8.136359453201294,3.1278944,-2.598663,0.8269665428932197,2.1585834595460667,0.009527995,-69.61171948811504,16,0.02003335952758789,2.8378768,132.80972381232516,0.6789638996124268,0.8269656465089857,0.1845994,3.6364431,-510.5434312434668,0.0,45.079353,17.079464
1.0002747,0.6996023691848868,-154.71013263017957,6.5388803,0.20605854361653209,15.703385353088379,0.5537171363830566,5.9896995936614905,-66.58916312904051,-4.805944323720422,1,7.552143812179565,5.7885723,-4.8017774,0.6994825158978089,1.8391586371046984,0.0073215226,16.8951502121849,18,0.021309614181518555,2.8384233,109.93588547539477,0.5331010818481445,0.6996023691848868,0.15291357,6.385967,-368.5127319191837,0.0,30.08553,17.0888
0.9996824,0.6395114116740938,-228.7187876452174,10.545555,-0.4218275094778594,23.868032693862915,0.5265271663665771,9.289501265854643,-91.33627878071023,-7.6712472432443874,2,8.11264157295227,9.154872,-7.6594863,0.6399422573569912,1.643082370919462,0.0076051983,-42.25744899059563,16,0.01993083953857422,2.8372388,105.70574720175473,0.5052669048309326,0.6395114116740938,0.19635677,10.349198,-402.8508224748027,0.0,19.16937,17.068571
0.9973641,0.4681417790915084,-89.57607487658784,28.74606,-179722.11372701704,32.476280212402344,1.5213510990142822,16.45650461648241,-29.298680325909093,-14.336125992277932,3,8.603042602539062,16.320189,-14.32452,0.4681399053612929,1.8896870517621924,0.0068059415,83.38710710203077,9,0.01995253562927246,2.8325968,114.21259566695306,0.5252745151519775,0.4681417790915084,0.1573391,28.58872,-325.8385214250485,0.0,23.976357,16.989521
0.9957613,0.7822029265406691,-209.96318897774782,13.528323,-1.0138376803467817,40.07085609436035,0.5950667858123779,18.03945971653927,-72.02738188364813,-15.091533123036315,4,7.554912567138672,17.923475,-15.078135,0.7824715514917701,1.758667700972163,0.0069881873,-54.31725439082177,14,0.019622802734375,2.8293757,96.29603008408792,0.5020670890808105,0.7822029265406691,0.1617651,13.366558,-368.504838021534,0.0,20.830223,16.934885
1.0000014,0.7179928347272783,-208.5470564330065,15.074853,0.03581112747542592,47.85130429267883,0.7453160285949707,19.859634306102222,-59.62669207314711,-15.79368863143016,5,7.773578643798828,19.752426,-15.7797985,0.7166915885303874,1.7217085217681287,0.007087819,-52.71251291523927,13,0.021210193634033203,2.8378632,109.52325141211736,0.5379328727722168,0.7179928347272783,0.17451572,14.900337,-428.65067012207646,0.0,19.28171,17.079231
1.0013003,0.7719380697829588,-153.09675391463028,14.585602,0.09787955236096357,55.60043501853943,0.696662187576294,21.911786247181016,-41.70194732184515,-16.45757324605375,6,7.70885443687439,21.80035,-16.446112,0.7713000499728659,1.736061437740197,0.0068106907,23.30916880580571,12,0.02032947540283203,2.8404753,121.6526549904088,0.5006189346313477,0.7719380697829588,0.1659813,14.4196205,-304.22839130494265,0.0,19.07391,17.123903
1.0005846,0.6169708071150071,-181.41614064769777,13.847565,-0.534404772155648,63.34381031990051,0.7717578411102295,23.343818427523576,-39.512846932131616,-16.599101965681363,7,7.738309621810913,23.241034,-16.58405,0.616470041520085,1.7592865435728835,0.0066796117,20.016557612293354,10,0.01888108253479004,2.8390415,128.05745421060672,0.5060272216796875,0.6169708071150071,0.156703,13.690862,-411.6144131018252,0.0,18.247406,17.099367
0.9994139,0.5138314825314622,-160.34836958049857,15.904803,-6.305530488267091,71.31565308570862,0.9345448017120361,24.88102056448628,-33.095453286967434,-16.832376727860364,8,7.932554244995117,24.779678,-16.821016,0.5139170000393081,1.7955151861106613,0.006546282,-61.72639075343065,9,0.018531084060668945,2.8366892,81.2288240446813,0.4667854309082031,0.5138314825314622,0.15379143,15.751012,-304.95491188009794,0.0,18.259844,17.059193
0.99988806,0.7295961991465045,-144.6008016817747,15.540361,0.11136848711726177,79.6929886341095,1.2670624256134033,26.169187326498818,-8.172877911863685,-16.708072193122188,9,8.371926069259644,26.062428,-16.697208,0.728224473910602,1.828137811702488,0.0065600253,29.93132411428809,9,0.022823572158813477,2.8376424,93.66534292954299,0.6315860748291016,0.7295961991465045,0.15296173,15.3874,-282.7670118168544,0.0,18.235579,17.075462
0.99967414,0.44556512027180867,-141.9828153916139,26.899307,-145.21907353108938,88.65168237686157,1.9560620784759521,27.968687340488483,-13.038610991551538,-17.589560727413122,10,8.91848111152649,27.86182,-17.579557,0.44549605163481737,1.8498700791523872,0.0065282555,94.11240220825572,6,0.020556211471557617,2.8372114,129.37529565963231,0.5577740669250488,0.44556512027180867,0.1492691,26.750038,-290.92068184584537,0.0,17.745672,17.068102
0.9988084,0.6744777089700915,-50.99310575375776,13.35664,-2.5917317787188265,96.82695960998535,1.2524073123931885,28.394239597393,9.43838805741113,-16.820980573719012,11,8.16998291015625,28.291567,-16.811625,0.6744312501172657,1.8704614123541508,0.0064125024,69.86323420449449,8,0.02084946632385254,2.8354824,75.51288347571808,0.5856785774230957,0.6744777089700915,0.1606245,13.196015,-223.19799729754206,0.0,17.615114,17.038616
0.9996436,0.4310788520876601,-141.6700323481212,17.816622,-155.009968565848,106.4417986869812,2.60866379737854,28.777973350834447,-3.690437534592894,-16.47196654827685,12,9.574906587600708,28.685665,-16.467625,0.43109936470046195,1.9154324584740787,0.0064782305,-3.1321424011703414,5,0.02403855323791504,2.837161,111.15447458191124,0.6974942684173584,0.4310788520876601,0.1436367,17.672985,-291.2868395351536,0.0,17.091082,17.067244
0.9983103,0.8224215965872125,-15.326685851850257,28.081987,-2.335809905083631,116.29076838493347,2.8094372749328613,29.424742835796803,15.762234787809112,-16.635810780848605,13,9.843509674072266,29.33213,-16.629475,0.8232713938575148,1.9477698712029776,0.0066476194,95.53917915522588,3,0.023807525634765625,2.8344865,134.61311668872528,0.6753151416778564,0.8224215965872125,0.1254406,27.956547,-204.78426817456574,0.0,16.923351,17.021658
0.99497175,0.6656694049878614,-241.65581798206972,7.7585216,0.6155887554392141,125.0569007396698,1.7127041816711426,28.13651527456211,-14.519908410765705,-14.664502678372076,14,8.72610354423523,28.054523,-14.661371,0.6627537145061297,1.939293929223249,0.0066227247,-203.0824374314136,5,0.022840261459350586,2.8277771,28.43142297718449,0.6223270893096924,0.6656694049878614,0.13767624,7.6208453,-276.79429345220206,0.0,16.903208,16.907835
0.9949997,0.49998670770243997,-146.92626772523607,13.753977,-2.1051356962705547,135.3240876197815,2.99878191947937,27.19981776734607,9.767436998960703,-13.210662999840821,15,10.26181936264038,27.124197,-13.207265,0.49741167359842636,1.941911992381263,0.006729794,62.76801919178021,5,0.027152538299560547,2.827835,108.48798326569222,0.7826862335205078,0.49998670770243997,0.17358589,13.580391,-241.33321188217766,0.0,17.42316,16.908815
0.9938398,0.7582792912788755,-213.0114238245691,5.834921,0.7810027422872204,145.95305252075195,3.456325054168701,25.86415229517036,5.068581006621821,-11.110034419546597,16,10.588969945907593,25.7997,-11.109559,0.7577698524832275,1.9179477158018101,0.006851392,-106.46682792105551,3,0.025870800018310547,2.8254983,76.61251986629392,0.7461469173431396,0.7582792912788755,0.16102505,5.673896,-283.3249691840912,0.0,16.412775,16.86935
0.9933063,0.7191902980706711,40.30309659466087,11.948151,0.5307582472822601,156.9348168373108,3.990919828414917,25.40756439635254,39.863002489259934,-9.614266412438948,17,10.941110849380493,25.33842,-9.611898,0.7062301471468022,1.874268508363713,0.006442931,43.52461450060021,2,0.01825690269470215,2.8244019,3.2215179059393364,0.5095787048339844,0.7191902980706711,0.14895916,11.799191,37.081578688721535,0.0,15.34197,16.850863
0.99249095,0.6648079783836501,-163.9704826770895,4.51334,-0.3952596062254645,168.41620922088623,4.297137022018433,24.319823864229992,15.438366623954403,-7.779121602379384,18,11.441046237945557,24.25781,-7.77655,0.6610126884091654,1.8468193863089826,0.0071025128,-149.19657286737112,3,0.026936769485473633,2.822747,16.554843027742514,0.7721116542816162,0.6648079783836501,0.22831202,4.285028,-187.08616713046985,0.0,15.111396,16.823
0.9911513,0.7115665919285182,-157.64777137130912,2.2548788,0.3183166397984052,180.77087259292603,5.0003485679626465,23.23990679939342,4.774151911985796,-6.142183518295077,19,12.314552307128906,23.185835,-6.1383944,0.7002707464047744,1.8529465204208906,0.00684175,-116.0090223686549,3,0.03185462951660156,2.8200338,56.70771990852553,0.925412654876709,0.7115665919285182,0.22295833,2.0319204,-237.82461534326094,0.0,15.565224,16.777418
0.9919044,0.6716892349816586,-77.66529171538352,-0.081016414,0.20096519678174563,189.55388712882996,1.9523632526397705,22.313166802580923,31.772389301306248,-4.574958403007565,20,8.742071390151978,22.256536,-4.5731497,0.6353457264401766,1.8294680950877322,0.008046174,-75.42804586306403,2,0.018106460571289062,2.821555,2.2372458523194894,0.48657894134521484,0.6716892349816586,0.20563567,-0.2866521,-79.902537567703,0.0,15.46493,16.802958
0.9909415,0.7591839654353846,-53.749676491872904,-0.23032719,0.4795596688965881,199.93153357505798,3.434457540512085,21.646125691764276,13.369570116062146,-3.4103873894520196,21,10.372769117355347,21.599428,-3.4083176,0.7591331203727777,1.758363013084032,0.0073504127,-51.307667126524,2,0.018140554428100586,2.819612,2.4420093653489054,0.49216508865356445,0.7591839654353846,0.10301328,-0.33334047,-56.19168585722181,0.0,13.796727,16.770344
0.9910521,0.7050585055858397,-26.87429467236457,-1.2251074,0.8030147882544196,210.74299430847168,3.742124080657959,20.771859652287667,20.289066322933042,-2.6414109582622207,22,10.771686553955078,20.721714,-2.6385183,0.677771648157317,1.7447839131952863,0.006628982,4.717945522347975,2,0.01830768585205078,2.8198369,31.592240194712545,0.5020885467529297,0.7050585055858397,0.073477745,-1.2985852,-58.466534867077115,0.0,13.498643,16.774115
0.99301475,0.7763134056329083,-32.58181674064865,-3.2365613,0.7295563206517355,220.62804579734802,2.892648458480835,20.039339267719253,40.02442567640749,-1.7585633637948694,23,9.845820188522339,19.971592,-1.7545525,0.7686380135900556,1.7607163430097612,0.0072421744,-16.321989468559188,2,0.01831650733947754,2.8237658,16.259827272089463,0.4952247142791748,0.7763134056329083,0.05249214,-3.2890534,-48.841644012738115,0.0,13.880217,16.840147
0.99127394,0.7784445193436659,-12.31231853261465,-2.5145867,0.8320351508957597,231.20637249946594,3.6466598510742188,19.303864006004048,41.03462620612134,-1.339376618555626,24,10.573340654373169,19.23049,-1.3369229,0.7775825961186351,1.7271754482368362,0.0074804733,-1.8122951751501695,2,0.018262147903442383,2.8202348,10.500023357464482,0.5058927536010742,0.7784445193436659,0.03832221,-2.552909,-22.812341890079132,0.0,13.556051,16.78079
0.98448044,0.7730543460421772,-38.18121519320312,-2.1845355,0.7634600780725525,241.44945693016052,3.3082480430603027,18.581005792672507,21.71379129916785,-1.0695225660935634,25,10.201066493988037,18.498472,-1.066571,0.7647148928868222,1.6707170687217536,0.006890935,-21.714381621948366,2,0.01839303970336914,2.8064954,16.466833571254753,0.4994974136352539,0.7730543460421772,0.037976265,-2.2225118,-54.648048764457876,0.0,12.541961,16.55181
0.9921268,0.5653590128842917,63.78600328070947,3.5215087,0.20511051545311365,252.10709381103516,3.7009670734405518,18.28863791264954,54.36331617715176,-1.2338629573371527,26,10.615014791488647,18.195585,-1.2274438,0.5484483004997975,1.6810195649552655,0.006436556,64.13016840885903,2,0.018485069274902344,2.8219876,0.34416512814956235,0.5096726417541504,0.5653590128842917,0.06549215,3.4560165,63.44183815255991,0.0,13.306664,16.81023
0.9934435,0.701872341704325,-10.427047664040419,-1.6726292,-0.3082245574236202,263.23359060287476,4.0967512130737305,17.7674132331613,24.38611581592303,-0.8475118623987646,27,11.08659052848816,17.675493,-0.8441377,0.696580837179581,1.6627637656195227,0.006706167,26.841686643475676,2,0.01837301254272461,2.8246539,37.2687343075161,0.5098116397857666,0.701872341704325,0.038805127,-1.7114344,-47.695781971556514,0.0,13.292819,16.85511
