PolicyExecTime,MeanKLBefore,LossAfter,LossBefore,MaxReturn,Entropy,ProcessExecTime,StdReturn,ItrTime,AverageDiscountedReturn,MinReturn,AverageReturn,AveragePolicyStd,ExplainedVariance,Iteration,NumTrajs,dLoss,EnvExecTime,Time,AbsLearnSignal,Perplexity,MeanKL
0.09044814109802246,0.0,-0.03910744,-8.116377e-09,-70.01630955237592,2.8378768,0.004050254821777344,91.60385877053302,0.7113816738128662,-71.08069066438006,-253.22402709344198,-161.62016832290894,1.0,6.130762564282577e-12,0,2,0.03910743,0.07593703269958496,0.7113912105560303,0.842393351963593,17.079464,0.009525347
0.06687593460083008,0.0,-0.047200542,-1.300465e-08,-102.7580146066092,2.8842852,0.0037827491760253906,55.09345913767738,0.349362850189209,-72.62311097723068,-212.94493288196395,-157.85147374428658,1.0235426,-59.95987218184204,1,2,0.04720053,0.06675505638122559,1.0754826068878174,0.6976556756999788,17.890776,0.0097724935
0.07600593566894531,0.0,-0.02173088,-9.4987485e-09,-308.7980910861034,2.8870437,0.0040929317474365234,57.390843292114454,0.36841368675231934,-189.06607273500094,-423.5797776703323,-366.1889343782178,1.0249032,-17.481695216350037,2,2,0.02173087,0.07642436027526855,1.4481947422027588,0.6988830557664274,17.940195,0.0070122825
0.09190177917480469,0.0,-0.100188956,-3.4553416e-08,-104.4003486285045,2.9242768,0.004910469055175781,52.32453068876406,0.3963658809661865,-69.95993814889653,-209.04941000603262,-156.72487931726857,1.0441837,-21.132441719459685,3,2,0.10018892,0.10020565986633301,1.850327730178833,0.6675516832007896,18.620754,0.0069748317
0.07784676551818848,0.0,-0.038357206,-3.6821401e-09,-81.95792499920177,2.9165835,0.004281759262084961,16.537003802405366,0.35114359855651855,-37.80724998389488,-115.0319326040125,-98.49492880160713,1.0402722,-55.011365579464545,4,2,0.038357202,0.07625818252563477,2.206233263015747,0.738807023271159,18.47805,0.009334377
0.06307244300842285,0.0,-0.034031026,4.4773443e-09,-121.19808386633522,2.9027925,0.0036776065826416016,27.413465547145208,0.31737589836120605,-97.3171764395089,-176.02501496062564,-148.61154941348042,1.0330744,-4.846920004581068,5,2,0.03403103,0.05732464790344238,2.5282142162323,0.8270108919958133,18.224966,0.006497043
0.07413339614868164,0.0,-0.07899137,1.9704014e-08,-260.99994685021915,2.895592,0.004309892654418945,22.52421500527882,0.3331265449523926,-123.06677495637965,-306.0483768607768,-283.52416185549794,1.0296526,-78.06013750778132,6,2,0.07899139,0.07082271575927734,2.8656623363494873,0.8175075323691624,18.09421,0.0084468275
0.09857845306396484,0.0,-0.056345124,1.1995903e-08,-127.26528569373406,2.9174652,0.0057048797607421875,51.09069728063505,0.38744664192199707,-82.92845729901414,-245.25512227255902,-174.21876665258148,1.0411962,-4.507031295437236,7,3,0.056345135,0.08918261528015137,3.2602765560150146,0.722415104165459,18.494349,0.008540179
0.09150576591491699,0.0,-0.03426004,2.087166e-08,-90.47627535510483,2.9211156,0.005179166793823242,4.9057487004469875,0.38145971298217773,-45.594907131183874,-102.42679105114536,-96.08828438226065,1.043361,-23.549862843154052,8,3,0.03426006,0.08159589767456055,3.647303581237793,0.6111260136071863,18.561985,0.0073038936
0.08035874366760254,0.0,-0.041268397,1.5237278e-08,-72.17083726948744,2.9400465,0.004603385925292969,47.03308158807496,0.3574252128601074,-67.47677670221981,-181.17814804074123,-115.91162910940623,1.054132,-1.1100074965313103,9,3,0.041268412,0.06725239753723145,4.010481119155884,0.6707452969510971,18.916727,0.007587189
0.08422136306762695,0.0,-0.02565312,6.885735e-09,-88.60050952573359,2.9329994,0.005038738250732422,153.71730158219077,0.3507537841796875,-115.6358083990687,-432.81572299265963,-216.6532833308072,1.0503873,-3.3080877545225986,10,3,0.025653128,0.07369542121887207,4.366172552108765,0.6043011837985875,18.783886,0.008702464
0.06625723838806152,0.0,-1.1009299,5.5189486e-10,-102.17948486010378,2.900585,0.003843069076538086,36.163591324615005,0.33280181884765625,-61.45003258802228,-174.5066675093338,-138.3430761847188,1.0334607,-2.135928736612473,11,2,1.1009299,0.05289769172668457,4.704747915267944,0.8461416978213379,18.18478,0.0065010465
0.07844114303588867,0.0,-0.031909723,9.8576916e-09,-0.8073936698563813,2.9144785,0.004693508148193359,126.5037403068886,0.355405330657959,-63.6443770781618,-298.82968829839535,-125.3204291961115,1.0406432,-10.946596566768608,12,3,0.031909734,0.06735539436340332,5.0649094581604,0.6744651781470249,18.439194,0.009826513
0.06688117980957031,0.0,-0.051584613,8.669766e-09,-142.42272297276628,2.9087508,0.0037453174591064453,78.7659572066845,0.3112826347351074,-106.52232788286432,-299.9546373861353,-221.18868017945078,1.0373782,-24.734884569982494,13,2,0.05158462,0.05564069747924805,5.381854772567749,0.7143565992634235,18.333881,0.008773151
0.09677672386169434,0.0,-0.065329745,-2.4770761e-08,-88.7235762099377,2.9111261,0.005457639694213867,140.31363922288054,0.384918212890625,-88.34424502092081,-416.34988532374337,-222.55269933859927,1.0392313,-12.164366202725883,14,3,0.06532972,0.08642959594726562,5.772488117218018,0.523284882549542,18.377483,0.009867628
0.07047867774963379,0.0,-0.031193998,1.01888284e-08,-210.55059537940645,2.9490852,0.004147768020629883,17.565560638678946,0.3347508907318115,-107.77042950959105,-245.68171665676434,-228.1161560180854,1.0597901,-1.4424639262940384,15,2,0.031194007,0.06478500366210938,6.113003253936768,0.6807059799254043,19.088484,0.0067779743
