AveragePolicyStd,MeanKL,AverageReturn,dLoss,LossBefore,PolicyExecTime,Iteration,Time,NumTrajs,AverageDiscountedReturn,MaxReturn,MeanKLBefore,ProcessExecTime,Perplexity,AbsLearnSignal,MinReturn,ItrTime,EnvExecTime,ExplainedVariance,Entropy,LossAfter,StdReturn
1.0,0.00998537,-518.5897063531319,0.021576481,-1.8517948e-09,0.5678164958953857,0,1.3849718570709229,11,-263.825066351176,-82.02906346603467,0.0,0.015161275863647461,17.079456,0.8402435436989383,-856.9315599200171,1.3849620819091797,0.2522542476654053,5.466738173254271e-13,2.8378763,-0.021576483,251.38309836856297
1.0176665,0.009224866,-481.2054999371892,0.07430435,-0.0,0.44612956047058105,1,2.301617383956909,11,-248.3743305967334,-191.5863539582599,0.0,0.01475381851196289,17.688198,0.607829317234327,-737.9630482552047,0.9067795276641846,0.24133634567260742,0.7046723395089036,2.8728976,-0.07430435,146.21425532188877
1.023804,0.005948495,-381.8159921294846,0.013033329,7.2591764e-09,0.47492027282714844,2,3.2664949893951416,12,-191.09233338434294,-211.67250258092685,0.0,0.016059398651123047,17.902248,0.5572640092873217,-851.4753591514882,0.9601597785949707,0.25320959091186523,0.6120302829917643,2.8849263,-0.013033321,191.41009760010755
1.0134634,0.0064269216,-405.29941731449395,0.040119153,-1.8699498e-09,0.4587399959564209,3,4.193681478500366,11,-205.66488386984892,0.41988293593291814,0.0,0.01523447036743164,17.542234,0.6990199644396222,-805.2316039466417,0.9229683876037598,0.24317073822021484,0.7920403242455547,2.8646114,-0.040119156,246.50348571156
1.026316,0.0095302975,-460.16109018658005,0.039741818,-7.0511965e-09,0.46636033058166504,4,5.137019157409668,11,-227.70686076817276,-76.4087263727477,0.0,0.016164302825927734,17.989832,0.689986306001326,-750.3323093363946,0.9391293525695801,0.2485513687133789,0.7968021035865549,2.8898067,-0.039741825,224.38979579748724
1.0222007,0.0083052935,-402.33397879581605,0.0364418,-1.4115439e-08,0.4824512004852295,5,6.109317779541016,11,-189.19449758587533,-31.277537885211657,0.0,0.016434192657470703,17.84418,0.29279020257923494,-1095.348438604043,0.968071460723877,0.262587308883667,0.14294532964620033,2.8816774,-0.036441814,272.2374731179144
1.0236015,0.0068823174,-367.54038539872073,0.020705752,-7.252276e-09,0.46381616592407227,6,7.049680471420288,11,-172.96535658333252,-7.672663084806786,0.0,0.016245365142822266,17.893923,0.7457514186871219,-726.523228195314,0.9360103607177734,0.24998259544372559,0.7264204549426388,2.8844612,-0.02070576,240.8848882745823
1.0183992,0.0071231006,-311.69336306075667,0.03042271,-0.0,0.4408998489379883,7,7.96234655380249,12,-168.23729751291734,6.859368282371079,0.0,0.015225410461425781,17.713482,0.7096220930192122,-606.777811197409,0.9081234931945801,0.21761608123779297,0.6098487543863116,2.874326,-0.03042271,181.9235031190188
1.01899,0.0073552905,-399.29367119172804,0.027974442,-0.0,0.4501345157623291,8,8.872069835662842,10,-186.6060463296701,-159.6892209302558,0.0,0.015058517456054688,17.733925,0.7601030479217145,-566.28053605939,0.9037995338439941,0.23179912567138672,-0.5482779193406986,2.8754795,-0.027974442,118.8850803508092
1.0221189,0.009842129,-276.99074531951715,0.023051279,-9.14357e-10,0.4686009883880615,9,9.835074424743652,11,-131.21942605495227,-76.73788908270438,0.0,0.01560664176940918,17.843304,0.8019835189072795,-523.3883468630875,0.9586508274078369,0.2434372901916504,0.40295977033867747,2.8816283,-0.023051279,165.126881190201
1.0258088,0.007101717,-217.38767092042426,0.044155452,-0.0,0.48543715476989746,10,10.792041540145874,12,-98.65823427885873,-68.0592351978745,0.0,0.016461610794067383,17.972351,0.4688010556662802,-575.7023463364028,0.9526011943817139,0.24654507637023926,-0.8440578342847243,2.8888345,-0.044155452,171.18510217112222
1.0225121,0.009055578,-239.92697352461576,0.045928802,3.595379e-09,0.4832296371459961,11,11.790309190750122,11,-106.92891573404427,-46.016184515853226,0.0,0.01691126823425293,17.855858,0.6685940210027783,-677.9976885088364,0.9614486694335938,0.2568371295928955,0.4450849067564707,2.8823316,-0.0459288,173.49495467438754
1.0158409,0.007555108,-193.25610700264292,0.031009786,1.084748e-08,0.4691016674041748,12,12.742987394332886,12,-94.98272328369465,-40.31619641179612,0.0,0.016708850860595703,17.623604,0.6741670491679684,-495.4004261210985,0.9485664367675781,0.2510225772857666,0.14192001422774259,2.869239,-0.031009775,146.49235416827938
1.0158327,0.00908036,-230.66173230826254,0.02175195,-3.598771e-09,0.477675199508667,13,13.72972297668457,11,-101.2856532115115,-44.010858283719735,0.0,0.01646900177001953,17.62328,0.6444291696518574,-572.4841409048485,0.9807114601135254,0.247053861618042,0.00033909559725942007,2.8692207,-0.021751953,174.30274776247109
1.0435729,0.0064035957,-133.85221520176813,0.019580122,-3.7035897e-09,0.45884084701538086,14,14.63593316078186,12,-68.2632794666743,-71.84714430821353,0.0,0.015263795852661133,18.599781,0.7170121774588948,-277.0942528094744,0.9015355110168457,0.2209024429321289,-1.4446688372743086,2.9231498,-0.019580126,58.78324810410861
1.0353684,0.006706163,-114.84517879686643,0.035849564,-6.8919555e-09,0.4949228763580322,15,15.65347671508789,12,-49.931014143549326,-39.19423783512088,0.0,0.017144441604614258,18.304195,0.7386475362739203,-277.3910954036009,1.0130031108856201,0.26653218269348145,-0.0011627450948876739,2.9071302,-0.03584957,63.479356534547016
1.0346062,0.009280897,-135.1739117966422,0.032875646,-1.9755966e-08,0.486558198928833,16,16.640687704086304,11,-62.60974518029187,-52.79628914018683,0.0,0.017049789428710938,18.272726,0.6236195349077294,-246.4855986352886,0.9830794334411621,0.2542867660522461,-1.1234695363124314,2.9054096,-0.032875665,68.51839183613696
1.0383292,0.0067190384,-174.94257666035887,0.06991181,-7.4433117e-09,0.46229028701782227,17,17.56479501724243,11,-78.36036152208739,-63.20807168490201,0.0,0.0156552791595459,18.40415,0.7040223373932356,-494.4317125454118,0.919348955154419,0.23444437980651855,0.16729154357893006,2.9125762,-0.069911815,123.77630142524366
1.0378345,0.009200096,-130.69660874217777,0.042960763,7.143628e-09,0.4616091251373291,18,18.49155020713806,11,-58.678442315834154,-60.64096096275044,0.0,0.015836715698242188,18.385994,0.5876519933039093,-296.7846660228025,0.9221129417419434,0.2393486499786377,-2.3586766670112285,2.9115891,-0.042960756,61.429577712430884
1.0371189,0.0065925103,-127.54389169494765,0.0224858,-0.0,0.4545729160308838,19,19.414324045181274,11,-55.884214932145774,-48.27146029335623,0.0,0.015963077545166016,18.359764,0.804875625990946,-265.11848360245745,0.9178066253662109,0.2419581413269043,0.21978564574118675,2.9101615,-0.0224858,78.66140043394235
1.0390587,0.009855641,-117.12860290548737,0.022973282,3.736236e-09,0.4528951644897461,20,20.364004135131836,11,-49.36372454385414,-58.27087063996802,0.0,0.015037298202514648,18.434105,0.5342749339170235,-306.8520131427896,0.9455108642578125,0.23570656776428223,-0.008596595777409455,2.9142025,-0.022973279,69.54716605428808
1.0393199,0.009673834,-82.61418925693422,0.042653684,-2.1674417e-08,0.4674844741821289,21,21.292000770568848,13,-41.965549195722716,-31.996760514265432,0.0,0.016163110733032227,18.434042,0.7181785825965238,-119.66880928387867,0.923447847366333,0.23270559310913086,-0.40515267715300296,2.914199,-0.042653706,25.772248059843566
1.0535969,0.009126211,-85.37387872004336,0.030259892,-0.0,0.4592554569244385,22,22.249969005584717,11,-40.86488423845169,-0.8421807255827929,0.0,0.015614509582519531,18.946087,0.6433683243482675,-154.98552243740173,0.9196691513061523,0.2360856533050537,0.3628890703753692,2.9415975,-0.030259892,37.84136706396444
1.0465963,0.009290983,-85.65933368710323,0.040006835,-1.2202526e-08,0.4492533206939697,23,23.153620958328247,12,-40.66690928446095,-48.392847876228636,0.0,0.015203237533569336,18.69424,0.5244002832575556,-169.23635421781165,0.8971281051635742,0.22567033767700195,-0.16696705990716,2.9282155,-0.040006846,30.642588136694528
1.0459149,0.009779718,-109.96282872095576,0.03648834,-3.6715084e-09,0.4616556167602539,24,24.09962248802185,10,-41.32564278941648,-56.0909364939473,0.0,0.015532732009887695,18.67797,0.6129575596214523,-342.5569240252729,0.9396288394927979,0.24596929550170898,0.06741791889655335,2.9273448,-0.036488343,81.57999216755164
1.060292,0.007144628,-94.52421546177123,0.04881434,-7.436057e-09,0.4756958484649658,25,25.10237693786621,9,-35.220129998156374,4.995275784877023,0.0,0.01660919189453125,19.192896,0.605355220001436,-235.55382888414377,0.99908447265625,0.27402615547180176,-1.3487233570898098,2.9545403,-0.04881435,79.0559113641096
1.0723668,0.006517884,-72.88918014867032,0.03498697,1.8304689e-09,0.4540371894836426,26,26.012885570526123,12,-33.49201967206992,-14.761658441264117,0.0,0.015618562698364258,19.634192,0.7239946033135077,-133.30329317677527,0.9061310291290283,0.23455166816711426,-0.352758805342112,2.9772725,-0.03498697,30.747660646015287
1.0710933,0.009903406,-72.42408786152708,0.13602313,-0.0,0.4775233268737793,27,26.985528469085693,10,-28.229285343104642,13.644720066167238,0.0,0.016423463821411133,19.594046,0.4857161849674497,-129.6422828574059,0.9686000347137451,0.25983500480651855,-0.4548248721364452,2.9752257,-0.13602313,45.3124403524724
1.0761383,0.0074232304,-82.73102743289999,0.020453671,-2.228645e-08,0.45491647720336914,28,27.944467782974243,9,-25.049940349797325,-32.06959981676519,0.0,0.01527261734008789,19.779123,0.3967830475862423,-234.41260945330305,0.9530229568481445,0.27447938919067383,-2.545687290437525,2.984627,-0.020453693,56.59809991718634
1.0894008,0.009845616,-125.75867033227354,0.022251066,-0.0,0.4955172538757324,29,28.989087104797363,9,-40.58077146679906,-53.84197632667373,0.0,0.017173290252685547,20.269522,0.6052462873095296,-414.11465836931416,1.0378007888793945,0.29553914070129395,0.4625889528094236,3.0091183,-0.022251066,108.01055554121392
1.0957141,0.0074061966,-85.27173043396117,0.04606727,-3.633045e-09,0.4903690814971924,30,30.033133268356323,8,-25.25130944990022,-11.708662588239534,0.0,0.016440629959106445,20.50522,0.5129882309321702,-263.4251027758104,1.0395536422729492,0.3256340026855469,-6.844685542985812,3.0206795,-0.046067275,79.41652585487047
1.096063,0.008824774,-89.86079855778185,0.047180336,8.565937e-09,0.4564845561981201,31,30.96834707260132,10,-32.383521738850774,-3.978411020659294,0.0,0.015259981155395508,20.51815,0.5327361714758044,-340.5468770343386,0.9307663440704346,0.2509572505950928,0.08105990648424377,3.0213099,-0.04718033,91.619061123082
1.0940702,0.006879015,-80.74026014234884,0.011645639,-1.42738905e-08,0.4762091636657715,32,32.00901484489441,9,-27.365689151923743,-44.02635992934902,0.0,0.015906333923339844,20.44358,0.3689198292221149,-197.29385956659206,1.036123514175415,0.338808536529541,-56.16892229294879,3.017669,-0.011645653,46.70727269564917
1.0765231,0.007304904,-97.28617304513175,0.0372747,-0.0,0.48264646530151367,33,33.03397583961487,10,-38.43066214962916,4.526612303281098,0.0,0.016359567642211914,19.793413,0.4667229272439907,-435.5748055814079,0.9869892597198486,0.2666029930114746,-1.0752758771888313,2.9853492,-0.0372747,121.20556824976741
1.0690532,0.0064773266,-61.71952453666669,0.020087643,2.2751674e-08,0.4530613422393799,34,33.9678897857666,9,-25.095140248515747,5.979645577097955,0.0,0.01508641242980957,19.517715,0.6865361783313814,-117.43933312986744,0.9285368919372559,0.24978971481323242,-1.0263061252201822,2.9713225,-0.02008762,37.662554818259466
1.0590196,0.0076098056,-112.93551721887303,0.030389076,7.300856e-09,0.47779297828674316,35,34.99552822113037,9,-30.74899459576291,4.293305672405737,0.0,0.016050338745117188,19.150785,0.6300454689017426,-528.2802427289695,1.022801399230957,0.31472229957580566,0.24023631706573823,2.9523437,-0.030389069,151.80358806233392
1.0506539,0.006883242,-204.28120037249644,0.024852967,9.405072e-09,0.4609990119934082,36,36.00138831138611,8,-47.14057942324502,-0.12408687909264415,0.0,0.015780925750732422,18.85271,0.5089036930588702,-608.0353992152691,1.001615047454834,0.32021403312683105,-0.13086004378131055,2.9366567,-0.024852958,209.33419280927188
1.0395787,0.0099555645,-135.23820946566227,0.023588732,4.9200737e-09,0.5379931926727295,37,37.25601077079773,7,-34.84281904849336,-0.7642964793280669,0.0,0.018192768096923828,18.457386,0.5344706239472441,-335.93348137241856,1.2504265308380127,0.4940457344055176,-7.157175549678486,2.9154646,-0.023588726,103.09643117046754
1.0291893,0.006527931,-102.49805092879632,0.02527035,-3.7252903e-09,0.4531433582305908,38,38.18173623085022,9,-38.61993141808502,-1.864274908016995,0.0,0.015294075012207031,18.090473,0.5640169238206627,-239.07148448859502,0.9213418960571289,0.24744391441345215,-3.322916353314816,2.8953855,-0.025270354,62.76236595422827
1.0233023,0.00972373,-96.59764138432143,0.037475698,7.350091e-09,0.456296443939209,39,39.12228608131409,10,-37.29296121649029,5.436507642625045,0.0,0.015540361404418945,17.881832,0.7340716762863324,-153.6501177354348,0.9363803863525391,0.24775028228759766,-0.07273068136742111,2.8837852,-0.03747569,46.03930941283888
1.0248113,0.0065880027,-83.14458394913518,0.024140136,-0.0,0.46707701683044434,40,40.11312556266785,9,-30.030808560614396,25.20067959817483,0.0,0.01618814468383789,17.936325,0.5318709975426522,-145.64439568415452,0.9866714477539062,0.2881510257720947,-2.0559112254452185,2.886828,-0.024140136,51.95627022649696
1.025168,0.0066260905,-92.98564178504662,0.022384658,-1.5481726e-09,0.5355014801025391,41,41.27482581138611,10,-30.359057480216386,-15.366070921269099,0.0,0.01821732521057129,17.949394,0.5264999356132554,-242.32321115116906,1.1572484970092773,0.39512205123901367,-2.974016170284834,2.8875563,-0.02238466,64.37477888477602
1.0245686,0.006451136,-43.24964028331323,0.03288628,-1.48866235e-08,0.440507173538208,42,42.18193340301514,11,-10.819478816440434,36.127163202351795,0.0,0.015126943588256836,17.928257,0.6398842128328467,-136.0652895247361,0.9027981758117676,0.24443960189819336,0.2342160895868337,2.886378,-0.032886297,50.693153397858545
1.0226992,0.007530389,-77.24827822374127,0.038418517,-2.0435879e-08,0.48630452156066895,43,43.21118497848511,10,-23.062069737352232,0.28855544870353356,0.0,0.016411542892456055,17.861635,0.6218177496773131,-237.97455525106284,0.9813530445098877,0.26972079277038574,-0.3972990016225142,2.8826551,-0.038418535,59.063781852418906
