NumTrajs,Entropy,LossBefore,MaxReturn,AverageReturn,AverageDiscountedReturn,MeanKLBefore,Time,MinReturn,dLoss,EnvExecTime,ExplainedVariance,ProcessExecTime,AveragePolicyStd,MeanKL,StdReturn,LossAfter,AbsLearnSignal,PolicyExecTime,Perplexity,Iteration,ItrTime
11,2.8378768,3.6226944e-09,-61.000392137740995,-390.18429179654163,-193.1966317523892,0.0,1.4321520328521729,-658.6798162804579,0.022707922,0.2604691982269287,9.054978988842777e-13,0.01584601402282715,1.0,0.00931514,187.81899595930193,-0.022707919,0.8333176067665624,0.5935826301574707,17.079464,0,1.432140827178955
11,2.867453,1.0508808e-08,-107.71031972510261,-416.01177725219935,-196.85018201571646,0.0,2.404127836227417,-629.7260060895119,0.03126788,0.2665584087371826,-2.797018859102873,0.015678882598876953,1.015047,0.0068830126,151.30934507660686,-0.03126787,0.502458309988852,0.47165989875793457,17.592155,1,0.9619295597076416
10,2.8668742,-7.1236177e-09,-80.9279774696552,-438.39700218010785,-195.68921278691366,0.0,3.400064706802368,-670.841210880671,0.040263347,0.2756955623626709,0.4240995191644289,0.016040325164794922,1.0146058,0.007851293,169.47585200404725,-0.040263355,0.6728348301057722,0.49135637283325195,17.581974,2,0.9919006824493408
10,2.874434,-3.024537e-08,-75.94435783347444,-324.7179654947637,-161.07650901207165,0.0,4.365875244140625,-601.3959742891396,0.025491282,0.2639620304107666,-0.9081797197436297,0.016353368759155273,1.0184962,0.009496896,168.6591239465345,-0.025491312,0.760447274953054,0.4656229019165039,17.715395,3,0.9608554840087891
9,2.889444,1.8180966e-08,-130.2760825570951,-326.4575920627834,-155.01253524398274,0.0,5.46391224861145,-534.9828186568981,0.03836538,0.3477742671966553,-117.39638995295836,0.01746988296508789,1.0261866,0.006532473,139.36740603626654,-0.03836536,0.35945206621997966,0.5223498344421387,17.98331,4,1.0939116477966309
11,2.892931,-9.6242365e-09,-63.221420040404944,-277.98021715323114,-135.2233775434246,0.0,6.4762122631073,-515.8504574775554,0.039478585,0.28606367111206055,-2.777546406905295,0.017042160034179688,1.0281448,0.009980211,129.38939414301547,-0.039478596,0.6384199295467208,0.5038588047027588,18.046125,5,1.0077977180480957
9,2.8961387,-0.0,-85.00638822313205,-303.76133411958574,-130.35601219405194,0.0,7.45869517326355,-565.6517527586855,0.029384734,0.2840266227722168,-0.04779364535335051,0.015741348266601562,1.0302962,0.0072771693,165.7327781989543,-0.029384734,0.6677218778151586,0.4667627811431885,18.104105,6,0.9782273769378662
10,2.9040473,-1.3986058e-08,-75.64576764792727,-359.30498379286416,-167.225277579229,0.0,8.482374429702759,-540.8073758466322,0.022404289,0.29184532165527344,-1.0336004005126513,0.016625404357910156,1.0344338,0.0064733126,148.72322635815476,-0.022404304,0.6460778916046751,0.48795294761657715,18.24785,7,1.01920747756958
10,2.90094,-0.0,-60.62768422114629,-219.11358401023875,-108.92084341043483,0.0,9.493883609771729,-390.8573945042643,0.067720614,0.29262590408325195,-0.4671489721402946,0.01715230941772461,1.0331941,0.0065635694,115.20534973476464,-0.067720614,0.8120965634159912,0.4873502254486084,18.191236,8,1.0071570873260498
10,2.8813581,-0.0,-94.94648374955891,-256.6771707084052,-113.93994072540713,0.0,10.43149995803833,-441.7545363801371,0.020862563,0.2538571357727051,-0.2711283379245468,0.01587820053100586,1.0228893,0.007899145,121.20951039988137,-0.020862563,0.6630679350052712,0.4604647159576416,17.838484,9,0.9320774078369141
9,2.8951602,-0.0,-52.88683037410536,-199.3282514657539,-82.73361717646499,0.0,11.447709083557129,-481.91921195340745,0.033095352,0.2772216796875,-5.036690940815561,0.016205310821533203,1.0302652,0.00868279,126.7431108556634,-0.033095352,0.5877621220295872,0.4709782600402832,18.0864,10,0.9782772064208984
