MeanKL,NumTrajs,ItrTime,Entropy,AverageDiscountedReturn,LossAfter,Perplexity,MeanKLBefore,AbsLearnSignal,ExplainedVariance,LossBefore,PolicyExecTime,AverageReturn,Iteration,dLoss,MinReturn,StdReturn,Time,ProcessExecTime,EnvExecTime,AveragePolicyStd,MaxReturn
0.009484686,3,0.7199301719665527,2.8378768,-217.15998504549802,-0.06832536,17.079464,0.0,0.7856244631516317,2.535638365941395e-12,6.544824e-09,0.09320807456970215,-411.05366563478975,0,0.06832537,-543.5348487251267,94.03213032020439,0.7199440002441406,0.004488706588745117,0.06995058059692383,1.0,-334.83237300841904
0.006493055,3,0.3534841537475586,2.878302,-247.6849096145861,-0.030986091,17.784052,0.0,0.7226531545387678,-0.06880247104613235,2.3166178e-08,0.07544517517089844,-460.45583060612853,1,0.030986113,-645.51707700494,143.3632089432307,1.0834054946899414,0.004415988922119141,0.06456232070922852,1.0204353,-296.20515561686824
0.009304487,3,0.3668200969696045,2.9079752,-276.3620240795703,-0.048456766,18.319668,0.0,0.7249698187544067,0.7179480399021216,-2.6676204e-08,0.08925700187683105,-547.2715072200468,2,0.04845674,-610.2140933010369,59.18418701087296,1.4542131423950195,0.005321025848388672,0.08328485488891602,1.0356829,-468.0212948606216
0.007158381,2,0.35041260719299316,2.893517,-306.560577446127,-0.0365673,18.056704,0.0,0.6894500487244032,-222.82827467030629,4.023942e-09,0.07070636749267578,-665.8707443488026,3,0.036567304,-763.5914917113462,97.72074736254353,1.808997631072998,0.004332542419433594,0.07117795944213867,1.0282106,-568.1499969862591
0.0076090368,3,0.3711972236633301,2.871849,-299.2167883805435,-0.019590398,17.66966,0.0,0.5394295236553477,-0.9602150410614179,2.041255e-10,0.08835721015930176,-573.9399837785614,4,0.019590398,-652.3563837023997,58.30167891088771,2.1858036518096924,0.005190610885620117,0.08042597770690918,1.0171314,-512.6686967030748
0.008102272,3,0.3640286922454834,2.8398042,-243.33794732693653,-0.03303128,17.112413,0.0,0.6436575205847994,-2.6462857428377595,-3.5584862e-09,0.08527302742004395,-468.53355268605355,5,0.033031277,-581.8164422873218,81.85838777722834,2.5543367862701416,0.005082130432128906,0.07868337631225586,1.000968,-391.24183750169857
0.009459509,2,0.34920716285705566,2.8913877,-238.96996256185253,-0.062339112,18.018297,0.0,0.6754805337848211,-9.479849464612341,7.2248056e-09,0.08413982391357422,-612.1679559257971,6,0.06233912,-686.4425097964742,74.27455387067704,2.909374237060547,0.0045719146728515625,0.07700157165527344,1.0273873,-537.8934020551201
0.009512056,2,0.30869293212890625,2.897822,-268.7825427001628,-0.023786863,18.134604,0.0,0.7615901490909052,0.4806899623169054,-0.0,0.06252598762512207,-541.4426059473262,7,0.023786863,-596.2360783043789,54.79347235705265,3.2229244709014893,0.0038290023803710938,0.05930519104003906,1.030475,-486.6491335902736
0.0055132955,2,0.3122742176055908,2.8855247,-279.6195852497952,-0.024729079,17.912966,0.0,0.7329194694996854,-1.130020634031168,2.1192763e-09,0.06705856323242188,-595.8238332460842,8,0.02472908,-673.2288315806067,77.40499833452242,3.5404438972473145,0.0039060115814208984,0.05710482597351074,1.0243379,-518.4188349115618
0.0060597495,3,0.3480243682861328,2.8748796,-273.7538023463917,-0.028266983,17.72329,0.0,0.779220814210307,-5.841127189772037,-4.5155035e-09,0.07688236236572266,-505.5338130584312,9,0.02826698,-580.6367260421166,53.57444444483909,3.895738124847412,0.004341602325439453,0.06725573539733887,1.018885,-459.32233391168415
0.00907984,3,0.333648681640625,2.8915932,-280.63591533811217,-0.026587557,18.022,0.0,0.8215085125560471,-0.30530265893132014,1.8199891e-08,0.07823967933654785,-504.5590732741911,10,0.026587576,-548.3697849413054,47.51333370188164,4.236363172531128,0.004498004913330078,0.0649416446685791,1.0273635,-438.53182404727113
0.008311381,3,0.3276247978210449,2.8755498,-282.0850890723339,-0.026708242,17.735172,0.0,0.7735463984638482,0.5630323368688055,1.1773757e-08,0.07193303108215332,-490.47298259003213,11,0.026708253,-534.0555066322823,30.975332952231227,4.569561004638672,0.004194736480712891,0.05667448043823242,1.0193543,-464.85685771745955
0.006561471,3,0.31948351860046387,2.8280885,-275.2133713229817,-0.024120558,16.913101,0.0,0.6618016185003787,0.8192045194705311,-8.116377e-09,0.07110047340393066,-473.42924532660913,12,0.02412055,-511.91216450262885,38.487206190206436,4.896044731140137,0.004118442535400391,0.05731630325317383,0.9953417,-420.8531752074989
0.007145798,3,0.36225056648254395,2.8183572,-255.60757422525592,-0.035915405,16.749313,0.0,0.7000937216203916,0.5388016954200513,1.087382e-08,0.08529067039489746,-512.1981271408357,13,0.035915416,-573.4969406627902,43.80328372723608,5.262686252593994,0.005129814147949219,0.07087087631225586,0.99055666,-473.80707368593073
0.009940533,3,0.3348572254180908,2.8025477,-265.8956844674272,-0.024507863,16.486595,0.0,0.5977689931476016,-0.4808727522383407,-5.7397065e-09,0.07957029342651367,-497.1731552367117,14,0.024507858,-551.9139961285143,70.69452819139352,5.603212833404541,0.004632472991943359,0.06241488456726074,0.9825463,-397.35168422458764
0.008581761,3,0.37517881393432617,2.88415,-189.7619323686722,-0.06362335,17.888357,0.0,0.736841284006915,-2.445678366078005,-2.3924356e-08,0.08925318717956543,-410.52935604928143,15,0.063623324,-595.5171965804016,145.21564634053428,5.982564210891724,0.0053560733795166016,0.07897734642028809,1.0234329,-240.7955493591975
