AverageDiscountedReturn,ItrTime,MeanKLBefore,AbsLearnSignalOld,ExplainedVariance,StdReturn,AverageAbsQ,AverageAbsY,Perplexity,AveragePolicyStd,PolicyExecTime,AverageAbsQYDiff,MinReturn,AverageY,LossAfter,EnvExecTime,AverageQLoss,AbsLearnSignalNew,AverageQ,NumTrajs,Entropy,MeanKL,Iteration,AbsLearnSignal,ProcessExecTime,MaxReturn,LossBefore,dLoss,AverageReturn,Time
-66.77784563292286,8.071474075317383,0.0,0.8357243947866564,8.704814646876002e-12,82.62225601340356,2.300431,2.691310649434116,17.07946,1.0,0.6482610702514648,2.052209712492776,-374.84348935264154,-1.8045497287762016,2.0867786,0.47228002548217773,54.641476,0.8356536447003338,-1.7510222,20,2.8378766,0.009487453,0,0.8356536447003338,0.018222570419311523,-22.200713927226374,2.3283412,0.2415626,-143.3740683066382,8.07148551940918
-59.16383966495201,7.591396331787109,0.0,0.24805189406941375,-3.1747369731926067,88.13158892611924,4.275545,4.448253903610315,17.184593,1.0030732,0.4916348457336426,1.6059007868753183,-368.0260085399979,-3.649123496465299,5.5147257,0.49393773078918457,26.453833,0.24741891990641052,-3.622826,19,2.8440132,0.0064204833,1,0.24741891990641052,0.019383668899536133,5.064584984804682,5.709269,0.19454336,-131.43028653396001,15.676616668701172
-57.26903128877758,7.552902936935425,0.0,0.7225642809136552,0.02020457656368113,113.45500083771003,6.9872365,7.13603522829649,17.175983,1.0028226,0.4820261001586914,1.5074873202153833,-513.1640217723374,-5.953205642065164,7.785521,0.5142154693603516,18.949947,0.723139773420712,-5.9382052,17,2.843512,0.006582513,2,0.723139773420712,0.01963043212890625,11.367367291579583,7.9751096,0.18958855,-146.23186637937022,23.269126653671265
-57.64140516792405,7.762527942657471,0.0,0.6168637641282536,-3.7113916505111577,47.774615179442485,9.037481,9.137717818346225,17.196081,1.0034082,0.5070204734802246,1.4464705872856731,-220.85370657514508,-7.430302077709512,8.305972,0.5175004005432129,15.45858,0.6152939005891109,-7.413994,17,2.8446815,0.006705662,3,0.6152939005891109,0.018991470336914062,-38.36343309340671,8.504678,0.19870567,-130.6254509937322,31.038384914398193
-41.30668390331387,7.8840014934539795,0.0,0.6944467818390008,0.2915884452165245,75.61786697448139,11.473478,11.554808500055879,17.208864,1.0037812,0.5410840511322021,1.3640023703843478,-280.5167890384092,-8.498653213314686,8.639981,0.5796709060668945,12.093519,0.6935866855898929,-8.484425,15,2.8454247,0.0065806904,4,0.6935866855898929,0.020943880081176758,9.958667301193202,8.838006,0.19802475,-105.00600557597912,38.964345932006836
-18.38775474496552,7.9957592487335205,0.0,0.6254659691887885,0.16830403398531124,83.63246911070526,12.987459,13.062291217985036,17.164762,1.0024943,0.511643648147583,1.4117056615405645,-350.7073901273488,-9.01148735174482,7.6968865,0.590968132019043,11.66268,0.626653104658676,-8.999915,14,2.8428586,0.0065260124,5,0.626653104658676,0.020420551300048828,21.086944408390934,7.930915,0.23402834,-70.06873299923788,46.96507668495178
-16.161427848813688,9.349974632263184,0.0,0.4757819644521294,-5335.461852457859,55.652575858196826,18.453724,18.525708561030836,17.160355,1.0023667,0.6802237033843994,1.4430498378652103,-189.33454439635054,-13.622784391043353,35.526253,1.7840640544891357,10.759595,0.4757726955789663,-13.612046,10,2.8426018,0.0065569193,6,0.4757726955789663,0.02497124671936035,30.373494422531813,35.701866,0.1756134,-81.82779229782166,56.35762286186218
2.2075437290985325,8.310023307800293,0.0,0.7036469427059551,-0.05350057603307379,80.92688631416537,18.64461,18.717005137169483,17.165674,1.0025204,0.6424555778503418,1.4160365593302178,-240.18235585305334,-12.681988604502653,9.384178,1.0263655185699463,10.584826,0.702128831809484,-12.675456,11,2.8429117,0.0066878097,7,0.702128831809484,0.023674726486206055,17.05273335555077,9.572748,0.18857002,-63.88316558296123,64.67262530326843
2.007749155502691,7.947881698608398,0.0,0.7555162358481197,0.0893061889247454,42.05630445711491,18.845898,18.926972059432998,17.142756,1.0018511,0.5360043048858643,1.4288345754102296,-99.16795452344375,-11.525165995160984,7.704515,0.8690781593322754,11.027957,0.7576795405468821,-11.516284,9,2.8415756,0.006641048,8,0.7576795405468821,0.0207369327545166,42.82703538349267,7.8978343,0.19331932,-27.35110040120256,72.66006350517273
2.1945828829723673,11.208945512771606,0.0,0.7209335177351404,-24.33847851071365,33.88709166285839,20.993967,21.068251576714662,17.157475,1.0022812,0.8852126598358154,1.4918478023194572,-59.86576838058187,-12.539899682049118,26.390978,3.562154769897461,11.410412,0.7208640786325838,-12.533468,6,2.842434,0.0066726604,9,0.7208640786325838,0.030694007873535156,38.719238819335736,26.51234,0.121362686,-23.679440636323363,83.87409567832947
-10.491913440453729,8.72267746925354,0.0,0.7775241774302382,0.5794566521695557,173.83352000929136,20.581753,20.660019449269512,17.11247,1.0009685,0.6327958106994629,1.436076045447329,-373.58183139360665,-10.833302044173001,3.637272,1.6751492023468018,10.223041,0.7782496061910512,-10.8301,6,2.8398075,0.006471138,10,0.7782496061910512,0.02213883399963379,9.345093712895363,3.7594576,0.12218571,-168.0709211834192,92.63748240470886
13.176959225088302,10.735041618347168,0.0,0.6787317816504451,-0.20648524257461243,53.482195753827995,20.76689,20.83997406990665,17.112059,1.0009564,0.8741195201873779,1.4053782167783395,-133.09010077758225,-9.81203668537328,10.747217,3.353550910949707,10.109658,0.6825189131983487,-9.810374,6,2.8397834,0.00643959,11,0.6825189131983487,0.029730796813964844,40.32524161677222,10.86238,0.11516285,-30.850654018794035,103.3774356842041
