ItrTime,Perplexity,EnvExecTime,MeanKLBefore,NumTrajs,AbsLearnSignalNew,AverageDiscountedReturn,StdReturn,dLoss,AbsLearnSignalOld,AveragePolicyStd,AverageReturn,MinReturn,LossAfter,ExplainedVariance,AbsLearnSignal,MaxReturn,Iteration,MeanKL,Entropy,LossBefore,PolicyExecTime,ProcessExecTime,Time,,,,,,
0.8847343922,16.57032,8.556546,0.0574901104,0,2,0.6427463003,-154.0234832667,91.6644871464,0.18479538,0.6426569054,-316.7442296968,,-8.1682871321,-408.4087168432,6.144995,-8.1714945,33.106823,-36.1190513313,0.6427463003,-225.0797425504,14,0.006667738,8.758716326,2.8076131,6.3297906,1.9078218322,0.0636899471,0.0036559105,12.8006839752
0.9408657551,16.592562,8.682029,0.0913007259,0,3,0.6765181809,-135.2425667189,62.382020516,0.167871,0.6744892672,-295.119893315,,-8.2379692829,-368.2013565314,6.5348682,-8.225727,32.08638,0.2509125871,0.6765181809,-215.7819710736,15,0.006603835,8.9094113353,2.8089545,6.7027392,1.7916179262,0.0952365398,0.0054357052,13.7474417686
0.9826357365,16.599327,8.786995,0.1127252579,0,2,0.731742632,-37.5272156787,166.9627517446,0.14561558,0.731906988,-223.6195519601,,-8.2811508208,-390.5823037047,5.120294,-8.273262,28.627783,-9.7393617763,0.731742632,-56.6568002154,16,0.0068249763,8.9991510446,2.8093622,5.2659097,1.7185726548,0.098952055,0.0056431293,14.735619545
0.9830985069,16.512054,9.162457,0.0966281891,0,2,0.6323685423,-78.0359591739,92.6668868375,0.14052248,0.632913704,-230.4020973624,,-8.5898280747,-323.0689841998,5.356947,-8.584793,29.412579,-19.9872560497,0.6323685423,-137.7352105249,17,0.006491147,9.3655166797,2.8040907,5.4974694,1.7713402749,0.0852336884,0.004774332,15.7244813442
0.986420393,16.394178,9.310485,0.1319510937,0,2,0.6980632641,-77.3127140105,139.7455378055,0.19661379,0.6985157227,-227.6889803485,,-8.6335544536,-367.4345181541,5.441737,-8.635486,30.62802,0.0987117482,0.6980632641,-87.943442543,18,0.0065772184,9.4709062098,2.7969263,5.638351,1.8071877713,0.1025624275,0.0057711601,16.7197132111
0.9021642208,16.40436,9.608562,0.0871839523,0,1,0.7720445263,2.7988160493,0,0.19999197,0.7730041537,15.179866971,,-8.7985560498,15.179866971,0.026060272,-8.799931,23.3965,-2.6811878314,0.7720445263,15.179866971,19,0.009940236,9.7706752485,2.797547,0.22605224,1.6595548613,0.0610265732,0.0037639141,17.6277081966
0.9918041229,16.417873,9.739846,0.1270034313,0,2,0.7432830095,-80.3055016544,154.3555972053,0.16250849,0.7431979212,-268.7662598881,,-8.8156555297,-423.1218570934,5.0074754,-8.800137,22.962324,-2.2887856,0.7432830095,-114.4106626828,20,0.0065952903,9.9207725432,2.7983706,5.169984,1.66446573,0.1088843346,0.0059084892,18.6252803802
0.920289278,16.507477,9.730264,0.0930123329,0,1,0.9048869043,20.9551628353,0,0.16749823,0.9048430725,-37.4410240627,,-8.6844934063,-37.4410240627,1.5967202,-8.665791,24.014475,-19.1666517125,0.9048869043,-37.4410240627,21,0.0064194263,9.9086590892,2.8038135,1.7642184,1.6624672808,0.0651118755,0.003474474,19.5512301922
0.9017810822,16.559622,9.654682,0.0815880299,0,1,0.7219540258,23.3400585787,0,0.20376651,0.7202605094,39.1972699989,,-8.3731287332,39.1972699989,-0.39858186,-8.378925,15.622759,-20.1050233997,0.7219540258,39.1972699989,22,0.009603414,9.8036876226,2.8069673,-0.19481535,1.4871200778,0.0638313293,0.0034201145,20.4597415924
0.9274256229,16.673908,9.809528,0.0856971741,0,1,0.7493511119,-75.2483730851,0,0.08474374,0.74935581,-206.3012483868,,-8.5185563171,-206.3012483868,3.95346,-8.525413,27.48833,-74.2148039009,0.7493511119,-206.3012483868,23,0.0064199986,10.0167150999,2.8138452,4.0382037,1.7440924628,0.0639226437,0.0035133362,21.4315845966
1.0308032036,16.723265,9.644013,0.126868248,0,2,0.5334278696,-2.8807152791,45.4558352636,0.12056145,0.5334013997,-54.4153878106,,-8.1369147235,-99.8712230742,0.3340079,-8.102314,17.306946,-34.2399985497,0.5334278696,-8.9595525469,24,0.0065935208,9.8611030988,2.8168008,0.45456934,1.5223771543,0.1039969921,0.0059146881,22.4680116177
1.0397174358,16.705126,9.916444,0.1418955326,0,2,0.6305290626,-65.5887460073,105.5645926,0.08804226,0.6303612365,-215.719475045,,-8.2753216295,-321.284067645,6.5709796,-8.282827,14.97859,-0.318008348,0.6305290626,-110.154882445,25,0.0068729324,10.068132006,2.8157156,6.659022,1.4380178425,0.120257616,0.006708622,23.5160710812
0.9299962521,16.618881,9.937599,0.0881507397,0,1,0.7461010705,-62.6629080385,0,0.14438319,0.7462946056,-282.402724061,,-8.1934894859,-282.402724061,3.8867362,-8.175733,21.426498,0.2425359336,0.7461010705,-282.402724061,26,0.009896988,10.1749040118,2.8105395,4.0311193,1.5529848355,0.0652434826,0.003456831,24.451581955
0.929217577,16.637018,9.954196,0.0823733807,0,1,0.7515710912,-43.1658376884,0,0.17632508,0.7510563087,-99.233025322,,-8.1655893475,-99.233025322,3.1570807,-8.167844,18.922684,-12.2350880869,0.7515710912,-99.233025322,27,0.008455814,10.1987635531,2.8116302,3.3334057,1.5248609722,0.0666775703,0.0036928654,25.3872430325
