dLoss,AveragePolicyStd,AbsLearnSignal,NumTrajs,StdReturn,Time,MinReturn,LossBefore,Iteration,PolicyExecTime,Entropy,ItrTime,EnvExecTime,MeanKLBefore,LossAfter,ExplainedVariance,AverageDiscountedReturn,AverageReturn,MaxReturn,Perplexity,MeanKL,ProcessExecTime
0.023987316,1.0,0.8273492778297569,10,152.78230228311628,1.4547138214111328,-534.790821659317,-8.685558e-09,0,0.5998079776763916,2.8378773,1.4546916484832764,0.27721691131591797,0.0,-0.023987325,1.7744694602583877e-12,-107.4664844719678,-222.6913170652587,-44.065262037550795,17.079472,0.009584456,0.016226768493652344
0.03469935,0.9971551,0.6026012586064564,11,117.15946278578669,2.4296679496765137,-331.1283924883599,5.352709e-09,1,0.47789859771728516,2.8321211,0.9649312496185303,0.26213932037353516,0.0,-0.034699347,-0.8278212749003551,-72.55978081156807,-156.3466820534578,-52.381300934422896,16.981443,0.007385975,0.0157930850982666
0.03297112,0.9988184,0.6072216374447057,9,102.8188914588289,3.3661396503448486,-300.18159259864615,1.6879191e-08,2,0.44998645782470703,2.8354719,0.9316468238830566,0.26161766052246094,0.0,-0.032971103,-1.7002145166591447,-56.94074489158274,-133.87255882717832,21.080641949063946,17.038439,0.006821264,0.015367746353149414
0.027374929,0.9957666,0.6979530971072658,9,86.97171535113117,4.342393636703491,-319.6629990309664,-2.1331019e-08,3,0.46933555603027344,2.829223,0.9696500301361084,0.27829623222351074,0.0,-0.02737495,-0.6027056596283049,-45.953395900675325,-96.57986583398322,-25.30348442086664,16.932299,0.0065388456,0.015912532806396484
0.01751702,1.0052712,0.6975910962367675,9,52.96816490904692,5.338569641113281,-219.8224730446662,7.012311e-09,4,0.4843275547027588,2.8483753,0.9918308258056641,0.28341174125671387,0.0,-0.017517013,-2.0726287009630964,-46.683513263466864,-116.5637274090658,-31.786683703326247,17.259718,0.00697803,0.01655435562133789
0.076129176,1.0111432,0.6512755311907312,9,79.85448787537332,6.361009836196899,-265.11737790698976,-2.5140798e-09,5,0.49306488037109375,2.8599322,1.017747163772583,0.2986626625061035,0.0,-0.076129176,0.01246027442441322,-48.152526793935856,-126.98296236917493,1.335222877758909,17.460342,0.00644796,0.016798973083496094
0.031518433,1.0186436,0.6922453614717085,8,74.91774204582393,7.3811140060424805,-261.71881505747865,-1.36482905e-08,6,0.49871039390563965,2.874528,1.0151097774505615,0.29630470275878906,0.0,-0.03151845,-0.4863430342705737,-42.26224686246498,-116.09367695650752,-37.43707028477114,17.717058,0.009506485,0.016721725463867188
0.066825055,1.0247798,0.5250229946412455,9,44.88441120408167,8.354347944259644,-159.14483717711937,-1.7993855e-09,7,0.47347402572631836,2.8861885,0.9691762924194336,0.27712154388427734,0.0,-0.066825055,-1.5735530975429035,-20.363555353911096,-55.58153995874116,-9.125540630333731,17.924858,0.009327654,0.015743017196655273
0.041108556,1.0234411,0.7080494683277186,9,44.847712882877744,9.319441556930542,-155.50109348894233,8.357419e-09,8,0.46166491508483887,2.8834472,0.9611058235168457,0.2702300548553467,0.0,-0.04110855,0.2792794465421977,-22.673319830127483,-69.17888821855215,-4.622777260633427,17.875788,0.008398122,0.015878915786743164
0.022491805,1.0241733,0.6933534829210247,8,43.08596010199384,10.358959197998047,-153.57366053318427,-6.9547808e-09,9,0.49677610397338867,2.8849792,1.035175085067749,0.30330395698547363,0.0,-0.022491813,0.033073694236443685,-19.84595324614083,-64.71814775886898,-15.210004934639556,17.903196,0.0064126533,0.016434907913208008
