AverageDiscountedReturn,PolicyExecTime,AverageReturn,StdReturn,Perplexity,ItrTime,dLoss,NumTrajs,MeanKL,Entropy,AveragePolicyStd,EnvExecTime,MinReturn,ProcessExecTime,LossBefore,MeanKLBefore,ExplainedVariance,LossAfter,Time,AbsLearnSignal,Iteration,MaxReturn
-90.61781399996826,0.6253368854522705,-193.9137982113418,138.73792916410963,17.07946,1.6955418586730957,0.023621885,20,0.009556845,2.8378766,1.0,0.506558895111084,-480.4540743604213,0.019763469696044922,4.1086974e-09,0.0,2.2506441155201173e-12,-0.023621881,1.6955499649047852,0.8238662709864367,0,-27.256682121618184
-49.43478110628295,0.5111932754516602,-105.67092712802224,61.88769124443198,16.811882,1.278465747833252,0.015069347,19,0.0064884266,2.8220859,0.9921601,0.5139729976654053,-202.47048181714376,0.020525455474853516,-3.631316e-09,0.0,-0.8456536476570671,-0.015069351,2.9853086471557617,0.7497806517179103,1,18.760795666968193
-34.933499118956604,0.5032370090484619,-88.03537552581822,52.456255830339494,17.23957,1.2518658638000488,0.020614402,19,0.006409198,2.8472073,1.0047214,0.510699987411499,-213.63518832523982,0.02024364471435547,3.7638848e-09,0.0,-0.28523681799022715,-0.020614399,4.242091655731201,0.7688133614476415,2,-22.35985589396134
-24.431209715034647,0.5208740234375,-62.69219065225961,69.94929935719797,17.42427,2.6554481983184814,0.011492683,10,0.006798474,2.8578641,1.0100449,1.9087233543395996,-240.5459458988493,0.01886296272277832,-1.898804e-09,0.0,-19709.664950761777,-0.0114926845,6.903378248214722,0.47360424600906764,3,24.919105961623934
-27.034751971609293,0.5252988338470459,-81.47163828007143,44.58388006700134,16.842722,1.3460261821746826,0.010983841,18,0.006817532,2.8239186,0.9930474,0.5461905002593994,-175.88834952482176,0.021653413772583008,-4.4501833e-09,0.0,-1.3911125656124321,-0.010983845,8.253673553466797,0.7865470484469645,4,-26.60702740529385
-26.328376564044817,0.4926156997680664,-76.53945286974394,42.58294335077106,16.902903,1.2471864223480225,0.015473445,16,0.0070581767,2.8274853,0.99481755,0.5253293514251709,-183.84167343590124,0.020520925521850586,-1.0513314e-09,0.0,0.35460668141801077,-0.015473446,9.505143165588379,0.7368016300070642,5,-32.146038679808015
-24.154036855368474,0.4880051612854004,-73.32724235123317,41.682425790561396,16.109661,1.2173914909362793,0.027265035,17,0.0066037667,2.7794192,0.9711954,0.5011115074157715,-186.96288703408126,0.019974708557128906,-1.8969155e-09,0.0,0.37224690229355173,-0.027265036,10.726855993270874,0.6875900407827821,6,-33.537000672913294
-14.730845509974761,0.5179224014282227,-63.64218996433773,37.60862303189289,15.902327,1.3535356521606445,0.026690772,16,0.00998903,2.7664654,0.9649401,0.5926892757415771,-167.04173098763607,0.02099776268005371,1.868118e-09,0.0,0.2722073828106384,-0.02669077,12.117641925811768,0.7335710870714831,7,-5.6552620207207696
-7.589097200508958,0.5344326496124268,-44.659192553907175,30.783017376471534,15.293519,1.3463630676269531,0.019851336,16,0.009813488,2.7274292,0.9462866,0.5762279033660889,-118.24873941132975,0.021596193313598633,-0.0,0.0,0.15944845071281077,-0.019851336,13.468332290649414,0.57320096949653,8,-0.26402812854881574
-21.452706290822103,0.5137274265289307,-61.46447376501965,33.640301685110096,15.213232,1.3133447170257568,0.016694665,17,0.0067550642,2.7221656,0.9438292,0.5621969699859619,-112.39925241484207,0.02139115333557129,-3.610693e-09,0.0,0.0256062169517004,-0.016694669,14.786113739013672,0.6887357146766347,9,15.139050697174383
