AverageAbsQ,Perplexity,StdReturn,MaxReturn,PolicyExecTime,ItrTime,NumTrajs,AveragePolicyStd,AverageDiscountedReturn,MeanKL,AverageQLoss,ProcessExecTime,EnvExecTime,MeanKLBefore,ExplainedVariance,AverageReturn,AverageQ,AverageAbsY,AbsLearnSignalOld,AbsLearnSignal,dLoss,Entropy,AverageY,AbsLearnSignalNew,AverageAbsQYDiff,Time,LossBefore,Iteration,MinReturn,LossAfter
2.7237258,17.07946,89.51375865518436,-88.22833509333115,0.5709481239318848,4.567785978317261,12,1.0,-112.59684307465818,0.009984711,84.975914,0.015427350997924805,0.23052406311035156,0.0,4.7553072590744705e-12,-212.63779986425274,-2.5075178,3.479852119161182,0.8335601563661099,0.8336177053454421,0.2031231,2.8378766,-2.5405942164027264,0.8336177053454421,2.535272053725575,4.567795515060425,3.0861645,0,-421.39196787603595,2.8830414
4.2697673,17.006649,138.8248051527641,-79.03187063532272,0.4350447654724121,3.827883005142212,11,0.9978661,-116.67635539675695,0.009516092,56.33608,0.01475977897644043,0.21324658393859863,0.0,0.3123335744095801,-221.17218959392224,-3.9300036,4.5499080999791035,0.7760852626984827,0.7754003160700604,0.20289803,2.8336043,-3.937721269835308,0.7754003160700604,2.2176065705910823,8.417359828948975,5.696021,1,-554.5463114465442,5.493123
5.6751237,17.19519,97.01275569191839,-69.57774379413542,0.46048831939697266,4.023508787155151,11,1.0033827,-101.4214122529769,0.0075666406,37.10054,0.015895843505859375,0.24706077575683594,0.0,-5.678588669513939,-205.76629991914132,-5.3351336,5.874332031427282,0.513863152896874,0.5140972906957249,0.16850662,2.8446298,-5.334686038622483,0.5140972906957249,1.9101685053019186,12.445873260498047,5.269419,2,-358.35421347669956,5.1009126
6.8175783,17.196053,46.16124103836229,-56.902495749231086,0.4933431148529053,4.159038305282593,9,1.003408,-35.74509592073932,0.006704187,36.074337,0.01643991470336914,0.29965901374816895,0.0,-16.48154625156854,-108.42504570597748,-6.2885237,7.055050023980796,0.3443322978503003,0.345470666535316,0.17781591,2.8446798,-6.284912004118035,0.345470666535316,1.9320966960249575,16.659379959106445,4.5351353,3,-207.35125172898393,4.3573194
7.8291965,17.182892,83.41621842092431,-11.086736216382803,0.5069980621337891,4.118873834609985,10,1.0030242,-41.05350481831875,0.0069536124,31.022335,0.017313241958618164,0.287334680557251,0.0,-0.7233223513496727,-107.72025200686662,-6.8778048,8.045403745449757,0.6625880028025442,0.6618717590459642,0.21390152,2.8439143,-6.886308217185908,0.6618717590459642,1.8736095890952247,20.78338098526001,4.29785,4,-303.4603289770265,4.0839486
9.268388,17.067484,159.62273558692192,7.096965868661798,0.4766674041748047,4.04736852645874,9,0.9996513,-45.48449476180575,0.006850945,25.047367,0.015600204467773438,0.2839818000793457,0.0,0.2102417624271351,-159.66815716024988,-7.7879953,9.467195436358729,0.575634919919913,0.5756021095735419,0.18310213,2.8371751,-7.801994339881605,0.5756021095735419,1.7680996745365454,24.83621907234192,7.2715364,5,-554.2594368612106,7.088434
10.133933,17.103502,96.88224312439898,57.172336575424424,0.5353729724884033,4.2884016036987305,9,1.0007036,-44.67635945513382,0.0067271465,22.382635,0.01843547821044922,0.35413336753845215,0.0,-8.94548327759868,-112.27966953569512,-8.198991,10.310431246553803,0.6055448801024645,0.6050824529539987,0.1827097,2.8392832,-8.208270692818791,0.6050824529539987,1.7325085036904968,29.164735555648804,8.46701,6,-260.73376850741215,8.2843
10.84775,17.149214,42.92381087153017,19.73021019049898,0.5065145492553711,4.070698499679565,9,1.0020456,-16.625126980880314,0.006622459,18.320803,0.017032623291015625,0.31533312797546387,0.0,-0.38443756470040724,-57.11715886546032,-8.168059,10.994340811012774,0.7539783306087573,0.7546831537582854,0.18666816,2.8419523,-8.184034781472107,0.7546831537582854,1.6326540959854803,33.24037027359009,3.1995518,7,-124.71342014772729,3.0128837
11.347615,17.149885,44.08974265141666,18.003022174612354,0.5136888027191162,4.177879571914673,8,1.0020596,-9.464710872394829,0.006817852,18.286335,0.017472505569458008,0.35191941261291504,0.0,0.1179933716626892,-45.840173668381055,-7.8735137,11.486693051167288,0.7039135040766549,0.7036404933526426,0.20059276,2.8419914,-7.8838293061268185,0.7036404933526426,1.618321946594976,37.42404770851135,2.5965278,8,-117.51287727716583,2.395935
11.9693,17.192333,57.618650248900046,18.911748849997338,0.4638075828552246,4.114640235900879,7,1.0032988,-20.63736445975292,0.0068293936,16.103588,0.01558542251586914,0.3150649070739746,0.0,0.031732528469727295,-64.32861797397393,-7.668749,12.097731878726508,0.6904606599057264,0.6941841777537827,0.2006073,2.8444636,-7.681916802335772,0.6941841777537827,1.5563560910002439,41.579710483551025,4.9641714,9,-140.5538050397221,4.763564
12.717458,17.222614,80.93844385687464,48.3942518006896,0.504997730255127,4.122903823852539,6,1.0041837,5.850833990309959,0.0065354104,17.16397,0.016451597213745117,0.35836195945739746,0.0,-2.0621536603934474,-22.03577547868552,-7.409022,12.841778118734975,0.5257303941576819,0.5252164696197363,0.20181441,2.8462234,-7.419793404532631,0.5252164696197363,1.6087641636077945,45.70810317993164,3.6695232,10,-192.87828950574243,3.4677088
14.113907,17.278265,97.37609884430147,30.720107485520764,0.8961901664733887,5.797258138656616,5,1.0058075,-23.165461659862483,0.006856185,15.677159,0.027886152267456055,1.62428617477417,0.0,-1314.6555267147305,-76.34048141834674,-8.271015,14.248890881612697,0.46143739804489126,0.46138743969595375,0.15088654,2.8494494,-8.280680715658859,0.46138743969595375,1.6879959038444274,51.51030969619751,17.090034,11,-236.38234334814328,16.939148
14.631701,17.28085,62.43360210939449,-7.627510155084977,0.5338268280029297,4.577090263366699,4,1.0059012,-2.634932918403957,0.0065620453,13.652576,0.017743349075317383,0.6233086585998535,0.0,-1.307591113750072,-81.54383052495902,-7.8613143,14.728224712593724,0.6242633019415134,0.6243631174208906,0.13121176,2.849599,-7.86237468935331,0.6243631174208906,1.6137187246652567,56.12743902206421,7.620265,12,-169.90070865137,7.4890532
15.987556,17.346548,33.15498063736399,57.99806642645734,0.5586187839508057,5.277772426605225,2,1.0078216,19.575788669445544,0.009680796,15.949688,0.017035484313964844,1.3743665218353271,0.0,-3000.7237643069157,24.843085789093355,-8.408113,16.091093304619257,0.5116776153817181,0.511656439416659,0.18156242,2.8533936,-8.411918103314378,0.511656439416659,1.7783301999097105,61.41313052177429,21.746363,13,-8.311894848270635,21.5648
16.794321,17.438614,0.0,-11.152917138007247,0.4603896141052246,5.168661594390869,1,1.0104895,16.573757323370053,0.006589258,16.11889,0.014781475067138672,1.3581113815307617,0.0,0.5079596308147468,-11.152917138007247,-8.322511,16.88391973224625,0.8035666427884658,0.7996655805387619,0.11629295,2.858687,-8.326627687673867,0.7996655805387619,1.7918130025524621,66.58731150627136,19.453527,14,-11.152917138007247,19.337234
17.667017,17.377346,0.0,-2.4463581745821044,0.48619508743286133,5.00812554359436,1,1.0086956,18.258340174875595,0.009504736,14.060679,0.01480555534362793,1.1656501293182373,0.0,-0.09494026115848708,-2.4463581745821044,-8.307086,17.75243932545188,0.7716571969586961,0.7735052717368199,0.115486145,2.8551674,-8.308632315366857,0.7735052717368199,1.770562355104943,71.63646841049194,20.697895,15,-2.4463581745821044,20.582409
18.179255,17.369583,0.0,33.30505080635069,0.5060179233551025,5.962550401687622,1,1.0084579,63.924539856552975,0.0065966034,14.043137,0.01493072509765625,2.1066205501556396,0.0,0.4251583308341754,33.30505080635069,-7.9991875,18.255072934865638,0.5547212655721583,0.5700329903841783,0.13231659,2.8547206,-8.003229381143413,0.5700329903841783,1.7381063510709027,77.60438871383667,15.140777,16,33.30505080635069,15.00846
17.883358,17.32642,0.0,-66.17453855656724,0.4683952331542969,4.921534538269043,1,1.0072051,10.389300785014957,0.008548447,12.834448,0.014872074127197266,1.048633098602295,0.0,-13.508101727637047,-66.17453855656724,-6.8354697,17.96313392835801,0.8230504837912146,0.8236220972728122,0.06903815,2.8522325,-6.836429598964638,0.8236220972728122,1.7007266821443514,82.56711912155151,3.873982,17,-66.17453855656724,3.8049438
17.966372,17.514648,0.0,10.935751728503742,0.49382829666137695,5.037813901901245,1,1.0126665,13.824322097571365,0.009860769,12.345193,0.014740467071533203,1.230128526687622,0.0,-0.06023305398414269,10.935751728503742,-5.906479,18.03163894398451,0.7192434132373325,0.7195222292869918,0.088680744,2.8630376,-5.905128436819951,0.7195222292869918,1.6478318983856224,87.61006450653076,5.802743,18,10.935751728503742,5.714062
17.646824,17.29521,0.0,-31.101833347897994,0.48712921142578125,5.463012456893921,1,1.0063329,35.998332916097844,0.009480561,11.00033,0.014620065689086914,1.6293377876281738,0.0,-5.90443196887804,-31.101833347897994,-4.402006,17.71198326008699,0.7766113755003663,0.777273469273042,0.046972275,2.8504295,-4.401701834234359,0.777273469273042,1.6105315230545905,93.07810521125793,-6.9581885,19,-31.101833347897994,-7.005161
17.492859,17.080544,0.0,-81.01835831012178,0.48805665969848633,5.895850896835327,1,1.0000689,-1.1426388777332603,0.0064062555,11.093204,0.014649152755737305,2.088609218597412,0.0,0.10918062647637194,-81.01835831012178,-3.0135262,17.568256527146342,0.7646504790641405,0.7654358357447818,0.05215317,2.83794,-3.015156429286383,0.7654358357447818,1.5955721682873076,99.0145161151886,-0.5655842,20,-81.01835831012178,-0.61773735
17.50845,17.04707,0.0,-43.68833624873794,0.4937925338745117,5.746270656585693,1,0.9991738,4.8075122080640975,0.0099454,11.142531,0.01473689079284668,1.9498541355133057,0.0,-0.6296990922071732,-43.68833624873794,-2.1026826,17.57450237647885,0.8024142297521456,0.799051010781771,0.053673834,2.8359783,-2.0992918765060664,0.799051010781771,1.584064322436291,104.76652193069458,-0.42108312,21,-43.68833624873794,-0.47475696
17.140902,17.078266,0.0,-70.07727199608094,0.4880225658416748,5.052313327789307,1,0.9999925,0.07629073557789989,0.007745538,10.427533,0.014611005783081055,1.2296710014343262,0.0,0.45209472438731413,-70.07727199608094,-0.8046135,17.218759825251308,0.6234767850311084,0.641908419261998,0.045633316,2.8378067,-0.8031963524359857,0.641908419261998,1.5474899757722216,109.85991334915161,-2.4844909,22,-70.07727199608094,-2.5301242
17.181032,17.032585,0.0,13.297361913376704,0.4967362880706787,5.309234380722046,1,0.9986584,12.312460430564743,0.00997737,10.345121,0.014765024185180664,1.4849979877471924,0.0,-0.2004403219518356,13.297361913376704,0.02891055,17.258604115956125,0.606155156597298,0.609758426471532,0.06937516,2.8351283,0.028990912500001458,0.609758426471532,1.5303641804088939,115.17409467697144,1.5121125,23,13.297361913376704,1.4427373
17.422697,17.014002,0.0,-12.412940209540992,0.4728560447692871,5.862135648727417,1,0.99825186,23.814818245328066,0.009427956,9.905424,0.014889955520629883,2.1297881603240967,0.0,-4.103412107082724,-12.412940209540992,0.278067,17.493600023068538,0.8191457013946253,0.8143105524608019,0.06039238,2.8340366,0.2815385215325257,0.8143105524608019,1.4900722254397016,121.07643842697144,12.284556,24,-12.412940209540992,12.224164
17.526169,17.038012,0.0,-60.94688001949038,0.476642370223999,5.147546291351318,1,0.9989581,-7.218081411002815,0.007705795,9.605976,0.014802217483520508,1.3373091220855713,0.0,-0.18454151462442137,-60.94688001949038,0.77141976,17.6052004460133,0.6951268029740711,0.6978738307179808,0.042042434,2.8354468,0.7702897158128899,0.6978738307179808,1.5119607877137329,126.2289354801178,-0.33615923,25,-60.94688001949038,-0.37820166
17.42209,16.935411,0.0,-68.43524117155991,0.5023484230041504,5.634482383728027,1,0.9959097,8.4925283259804,0.009850455,9.303379,0.015289545059204102,1.8401963710784912,0.0,0.4388200841123271,-68.43524117155991,1.160533,17.49451468375015,0.7334581162392624,0.731606260027995,0.043810368,2.8294067,1.1636101219328112,0.731606260027995,1.4924222200614496,131.90430545806885,1.9963852,26,-68.43524117155991,1.9525748
17.388266,17.2,0.0,-92.4810022876468,0.49068546295166016,4.8657777309417725,1,1.0036274,10.389721749343664,0.009460381,8.50148,0.014791488647460938,1.0589382648468018,0.0,-0.05864852165546508,-92.4810022876468,2.127741,17.46550379305331,0.8587443751625804,0.8484206699038085,0.04446155,2.8449094,2.1298692193120576,0.8484206699038085,1.4454757479361833,136.77569150924683,0.41853765,27,-92.4810022876468,0.3740761
17.147308,17.249577,0.0,-38.24304709092758,0.488356351852417,5.885833263397217,1,1.0050567,28.279454641555603,0.007468076,9.835398,0.01500844955444336,2.053356409072876,0.0,0.553815935634736,-38.24304709092758,2.784489,17.217262148656754,0.6276445972969025,0.6345056070634313,0.072657585,2.8477876,2.7858778274894185,0.6345056070634313,1.4682219002662755,142.7133297920227,-7.648099,28,-38.24304709092758,-7.7207565
17.05563,17.179686,0.0,-41.23646287448724,0.5024750232696533,5.871083974838257,1,1.0030197,38.84059824466114,0.0069482694,8.470374,0.015057086944580078,2.0782692432403564,0.0,0.8636490023106914,-41.23646287448724,3.2883337,17.127434280528195,0.6919497685872996,0.6934867110482382,0.036227107,2.8437276,3.289998161747791,0.6934867110482382,1.4253055819103402,148.58971881866455,-1.0224046,29,-41.23646287448724,-1.0586317
16.825949,17.178894,0.0,-51.95103720790161,0.48046088218688965,4.8131115436553955,1,1.0029979,27.311688029645886,0.008568945,8.3508415,0.015018939971923828,0.9457345008850098,0.0,0.6042436268925437,-51.95103720790161,3.6949844,16.893007108999075,0.8023995411098694,0.7965268431748179,0.053448193,2.8436816,3.69564593697694,0.7965268431748179,1.3948403282249229,153.4426236152649,0.016407754,30,-51.95103720790161,-0.03704044
16.611614,17.0969,0.0,-125.24800795426374,0.48920488357543945,4.798701286315918,1,1.0007191,0.468709771776886,0.008896677,7.8326654,0.015364646911621094,1.0049476623535156,0.0,0.4276958627524957,-125.24800795426374,3.989685,16.686877927754086,0.8043137866547486,0.7936928971129218,0.073651314,2.8388972,3.990049278545769,0.7936928971129218,1.3585054546321071,158.25004839897156,-2.6082232,31,-125.24800795426374,-2.6818745
16.396555,17.030924,0.0,-75.3657966363265,0.4731903076171875,5.426697492599487,1,0.9987571,17.600827590012297,0.0058225687,7.64143,0.015007257461547852,1.5852110385894775,0.0,0.6583117118503958,-75.3657966363265,4.2829037,16.4709791103941,0.562421485384579,0.5764191826901375,0.036951303,2.8350308,4.28418912041315,0.5764191826901375,1.367300334809089,163.68230366706848,-2.6379669,32,-75.3657966363265,-2.6749182
16.467999,16.965162,69.91148391603899,229.54680844204057,0.7814960479736328,6.508999586105347,2,0.99692434,31.822344399626946,0.006609092,9.119645,0.024242401123046875,2.4572174549102783,0.0,-2.5972388124802293,159.6353245260016,4.3360662,16.559623957459728,0.600505448389601,0.600668799496078,0.056077242,2.831162,4.3387639366840025,0.600668799496078,1.3896304747621084,170.2311143875122,3.2309618,33,89.72384060996261,3.1748846
16.426947,16.801868,0.0,-85.23616557781743,0.46100330352783203,4.966350793838501,1,0.9921693,15.009075438007264,0.006806747,10.554059,0.014983177185058594,1.1335194110870361,0.0,-10.186100688309871,-85.23616557781743,4.7271953,16.518423980807082,0.6781465043987509,0.6781324837181685,0.037459254,2.82149,4.72618355651082,0.6781324837181685,1.4403063759290773,175.2029263973236,-0.7548649,34,-85.23616557781743,-0.7923241
16.518177,16.908754,0.0,-35.96277069810499,0.4974339008331299,5.63844895362854,1,0.99535507,42.06931843459025,0.008223736,8.878729,0.015179157257080078,1.8098790645599365,0.0,0.08883271924013558,-35.96277069810499,4.901631,16.600799553872218,0.5583800425184268,0.5664331931268107,0.03382939,2.8278315,4.904499871381268,0.5664331931268107,1.3907076607114601,180.88117742538452,-0.60817915,35,-35.96277069810499,-0.64200854
16.48065,17.052866,51.299756962137955,206.71369005327125,0.6724207401275635,5.580651760101318,2,0.999622,44.55135610841609,0.009593655,9.123516,0.02076578140258789,1.5656256675720215,0.0,-5.414452839847766,155.4139330911333,5.1885004,16.57397193321786,0.8158171782133145,0.8150263806587051,0.06740636,2.8363183,5.190640640372414,0.8150263806587051,1.3743386851333101,186.46686959266663,-0.53228015,36,104.11417612899534,-0.5996865
16.48781,17.018188,88.82947196432411,125.4554507780382,0.785834789276123,6.583919286727905,2,0.99857694,28.124083350596706,0.009851204,9.546121,0.024850130081176758,2.4874813556671143,0.0,-8.103086473201808,36.62597881371407,5.3890595,16.570510781466876,0.5445653710362177,0.5452067159099151,0.08092916,2.8342826,5.390154987320632,0.5452067159099151,1.3897810382780036,193.09127473831177,-1.2780153,37,-52.20349315061005,-1.3589444
16.588852,16.820457,21.27213565866127,208.99578216819532,0.6500217914581299,5.414038896560669,2,0.9926942,47.027160920423285,0.009567443,11.903328,0.019924640655517578,1.4336328506469727,0.0,-1.2886029326579447,187.72364650953403,5.6820517,16.728725445302178,0.7495317592320792,0.749375748948303,0.06362486,2.8225958,5.68222769588632,0.749375748948303,1.4525577075936809,198.5101923942566,-3.610236,38,166.45151085087278,-3.6738608
16.70268,16.896442,0.0,13.280616124968647,0.4864041805267334,5.3635640144348145,1,0.9949136,36.094152475065314,0.0066999746,10.682772,0.015115976333618164,1.4926567077636719,0.0,-68.62074317059917,13.280616124968647,5.807709,16.819992026975275,0.5821446074376999,0.5822898452365292,0.052570343,2.8271031,5.808534748660013,0.5822898452365292,1.3766951587250331,203.91368746757507,3.8800836,39,13.280616124968647,3.8275132
